,20kx1k,20kx4k,50kx1k,50kx4k
perf::PERF_COUNT_HW_CPU_CYCLES,"4090757909,2739454283,4544867685,6353246127,15401973907,34781812615","44701307263,30619866993,50269523839,74547932894,133122472263,278302577163","10764112694,7229469510,12063328385,17208321000,39511676396,85773546145","120037208027,79515983668,135440313641,185763859888,330900760505,696034502179"
perf::PERF_COUNT_HW_INSTRUCTIONS,"5722002582,3419644242,3805035647,4080076164,5663086318,8376769640","80412630691,46303109507,49085067905,50160963299,67592832485,100924541884","14428313934,8608711763,9545565388,10213129477,14181672765,21067259677","209409029618,120453758517,127609831648,130272324829,175341020015,262395273754"
perf::PERF_COUNT_HW_BRANCH_INSTRUCTIONS,"125989671,148039400,200795237,237502088,401238122,690061753","1272459204,1731518273,2120978643,2274872536,3373690819,5398295448","315744289,370406366,493324932,585014379,1066601768,1767244937","3296696524,4475553675,5472534813,5833952759,8637607336,14059170236"
perf::PERF_COUNT_HW_BRANCH_MISSES,"535409,662891,1079851,1366328,2098073,3616258","4862974,6634429,8910521,9967245,15950618,26009655","1210175,1516029,2400396,2938047,4586967,7791533","12045570,16621433,21647535,23943799,38082553,62208724"
perf::PERF_COUNT_HW_BUS_CYCLES,"28151158,20615026,38465331,55736058,143633886,305201509","318398990,227020562,412750499,573623970,1487385867,3130090756","75406197,54010001,103775587,155554123,386730052,794546688","850152452,605090858,1107456879,1461131755,3731146457,6158794948"
perf::PERF_COUNT_HW_REF_CPU_CYCLES,"3034296684,2225495196,4009245516,6020814312,15542103924,32856886404","34485028812,24504635736,44027375472,61952305788,153772488864,338095164996","8060640300,5861586096,11224007892,17324842140,41607459612,86613392376","91717271784,65165300136,119095535484,171750414127,409669933500,664489737763"
perf::PERF_COUNT_SW_PAGE_FAULTS,"0,65,0,87,214,0","86,384,0,37,339,1449","72,0,74,216,0,210","504,276,985,601,1405,1664"
perf::PERF_COUNT_SW_CONTEXT_SWITCHES,"0,0,0,0,0,0","0,0,0,0,0,0","0,0,0,0,0,0","0,0,0,0,0,0"
perf::PERF_COUNT_SW_CPU_MIGRATIONS,"0,0,0,0,0,0","0,0,0,0,0,0","0,0,0,0,0,0","0,0,0,0,0,0"
perf::PERF_COUNT_HW_CACHE_L1D:READ:ACCESS,"2097148253,1292572173,1487339309,1590187484,2109812909,2981621615","27730979327,16780715647,18277052985,18671080143,24766818342,36441720872","5294027413,3258623851,3743854468,4000507613,5307049764,7519550941","72284444985,43716555089,47602895104,48613650359,64444701617,94854470635"
perf::PERF_COUNT_HW_CACHE_L1D:READ:MISS,"666853226,452964146,562683428,608041138,772337303,997372935","7300314608,5222565019,6018272149,6192507944,8093730149,11645291514","1686828229,1141512892,1410200876,1525396464,1927672332,2534526551","19052304019,13612304902,15669089153,16104030519,21036529114,30271653711"
perf::PERF_COUNT_HW_CACHE_L1D:WRITE:ACCESS,"188997699,104737070,129430088,140465747,172976979,218897877","1960111991,1030166148,1127966107,1165669016,1489105055,2091321084","473983704,259234069,318761981,343817389,420982069,527151033","5071412819,2642376222,2887986538,2977300892,3793263700,5318209086"
perf::PERF_COUNT_HW_CACHE_L1I:READ:MISS,"177722,256030,317180,421202,759390,1228351","1443927,1893943,2206672,2629566,4585359,8351609","366572,481661,537543,721725,1112251,1997084","3416144,4167508,4581917,5376331,7797459,13115326"
perf::PERF_COUNT_HW_CACHE_LL:READ:ACCESS,"101994384,16476796,11455381,11257464,16303846,27677248","378763076,70626049,60343368,64523224,89909635,153400938","236337749,60331149,88793076,111337877,116543384,143879154","1046789369,287630149,392994206,462459108,466569461,582740413"
perf::PERF_COUNT_HW_CACHE_LL:READ:MISS,"3790989,2454270,1859042,1694559,2779967,6038519","48285951,25206657,22042956,22544224,30393111,55403146","24551784,10507000,7137424,7273560,11147638,23655418","140110305,74883228,67308516,69345164,92837324,151504444"
perf::PERF_COUNT_HW_CACHE_LL:WRITE:ACCESS,"4855502,3001981,6145865,7869618,10035368,13379582","51698111,26964952,30733010,37088116,51650178,78660634","12281743,6791315,9784000,14431923,13790531,17813428","153027211,66758715,56745910,61535558,79213280,124548538"
