,20kx1k,20kx4k,50kx1k,50kx4k
perf::PERF_COUNT_HW_CPU_CYCLES,"4126004179,4851914118,7658644103,5516714643,8375788531,41246153272","46853291933,55929203868,91505145226,72012678010,103467011553,286864677375","10785320981,13256860183,21804761827,13370367151,16802799998,97181448462","121334850382,148936615232,245029190937,180640544156,245964413415,794975499331"
perf::PERF_COUNT_HW_INSTRUCTIONS,"5722002747,6650506961,6987293184,4273570397,4853477786,8651386026","80412631189,91759843575,95555535203,57588841097,64517066761,101876176771","14428313789,16755479925,17614888992,10651909426,11990273455,21825443343","209409029581,238947240910,248805150514,149432142026,166900528739,265479216961"
perf::PERF_COUNT_HW_BRANCH_INSTRUCTIONS,"125989658,286650275,364446190,235323140,305269384,774948438","1272459655,3406613618,4077225709,2509630945,2993127015,5693801467","315744032,717309001,916157656,562692092,706191991,1971404198","3296696385,8846273582,10600232060,6393025172,7495623921,14871471677"
perf::PERF_COUNT_HW_BRANCH_MISSES,"532739,1277135,1925180,1517363,1995256,3569776","4858740,13094259,16797349,11458396,15460398,25955952","1212462,2944518,4376270,3279033,4315186,7917398","12027564,32781753,41433781,27486185,37321868,62546431"
perf::PERF_COUNT_HW_BUS_CYCLES,"28625599,36313212,62345861,44298301,89830097,379945082","331361605,424522778,736642920,567004997,941825275,2583178481","77349902,98136870,177131687,118487245,206084597,839976675","852547991,1128397059,1947604871,1319086517,2368069324,6637936143"
perf::PERF_COUNT_HW_REF_CPU_CYCLES,"3077164332,3916493496,6620085756,4800821292,9842650596,41229845568","35780198760,45826822332,79276922748,62674577604,101880793836,280229919516","8302034304,10591433280,19260634572,13178527678,21706842960,90174811716","91887154344,121866204780,211137770484,142646047848,256109139036,717471783468"
perf::PERF_COUNT_SW_PAGE_FAULTS,"0,130,148,98,143,21","0,271,279,307,1114,409","0,149,0,88,207,0","529,292,618,0,47,451"
perf::PERF_COUNT_SW_CONTEXT_SWITCHES,"0,0,0,0,0,0","0,0,0,0,0,0","0,0,0,0,0,0","0,0,0,0,0,0"
perf::PERF_COUNT_SW_CPU_MIGRATIONS,"0,0,0,0,0,0","0,0,0,0,0,0","0,0,0,0,0,0","0,0,0,0,0,0"
perf::PERF_COUNT_HW_CACHE_L1D:READ:ACCESS,"2097147740,2502700952,2652447976,1607264467,1793820227,3026817314","27730979011,33210586595,35226587404,21175284559,23594011734,36590283491","5294032191,6314527418,6691203186,4034154520,4483481664,7627316972","72284444677,86565885041,91804962776,55093562889,61290778206,95330702097"
perf::PERF_COUNT_HW_CACHE_L1D:READ:MISS,"666967329,865305179,944592002,563092389,613679927,995586150","7299564806,10255763992,11299226991,6784184166,7535848739,11613594611","1686358219,2185319968,2374769654,1412169960,1539820462,2544260568","19049656183,26802139544,29436368056,17673381870,19649206738,30326579686"
perf::PERF_COUNT_HW_CACHE_L1D:WRITE:ACCESS,"188997699,192633845,198115219,121056658,132546486,218783579","1960111991,1980555315,2001555772,1213733389,1352176236,2091040916","473983704,480299806,490730899,295113399,319444485,527110868","5071412819,5111966018,5151971983,3096581628,3429862883,5329926498"
perf::PERF_COUNT_HW_CACHE_L1I:READ:MISS,"183334,354603,506773,1767051,2946700,1315593","1472999,2772137,3540730,8276990,14336412,8403348","379360,724265,853552,2184211,3533830,1880442","3410966,6411265,6663939,11555323,17458708,14260252"
