,20kx1k,20kx4k,50kx1k,50kx4k
perf::PERF_COUNT_HW_CPU_CYCLES,"4141522235,4912163818,7838170619,14932629665,24742219712,41269242132","46327883589,56414569588,90149694434,135171622788,200175553542,321434046697","11047620269,13574263581,22220615382,39441191136,60336137326,97426377327","122300019743,151006892536,245644246289,368932649205,503155458689,725649144911"
perf::PERF_COUNT_HW_INSTRUCTIONS,"5722002699,6651007158,6994032564,7372764046,7906192434,8620519928","80412630906,91760098916,95567614643,97027765169,99176029568,101968224981","14428313919,16755682285,17622134939,18572115527,19910506834,21826613435","209409031848,238947316530,248849313084,252625131068,257935494237,265465531065"
perf::PERF_COUNT_HW_BRANCH_INSTRUCTIONS,"125989745,286759657,364400110,454365463,586385443,771271535","1272459609,3407286134,4080254800,4452238741,5012832142,5686192157","315744110,717177300,920208750,1158027182,1482282428,1976730455","3296697676,8849053139,10608070521,11607955148,12963253307,14905565397"
perf::PERF_COUNT_HW_BRANCH_MISSES,"531839,1282189,1928566,2387416,2880705,3536799","4866022,13153502,16810548,18695059,23098758,25823365","1212701,2949765,4363324,5361161,6489277,7921026","12048415,32821598,41502738,45520259,56141389,62628967"
perf::PERF_COUNT_HW_BUS_CYCLES,"28841545,37000594,63058176,123647419,226411947,367309158","336821258,428695763,739385599,1313908750,2161468087,2946597993","83114717,100592601,179192600,342294351,516619671,927293959","869600661,1143535406,1967578332,2991124271,5236856832,6981353164"
perf::PERF_COUNT_HW_REF_CPU_CYCLES,"3110984100,4042160496,6835169052,13342478544,24202092672,38964835800","35832926844,46236199680,79608575700,139888518876,233510247000,310625727912","8975034684,10850963760,19392828984,36962051724,55919561220,94814921412","94724962848,123520757508,212539694400,323133303204,597015108144,754844115060"
perf::PERF_COUNT_SW_PAGE_FAULTS,"1,0,130,239,0,0","9,0,290,0,339,702","0,0,45,11,168,813","327,496,676,5,216,447"
perf::PERF_COUNT_SW_CONTEXT_SWITCHES,"0,0,0,0,0,0","0,0,0,0,0,0","0,0,0,0,0,0","0,0,0,0,0,0"
perf::PERF_COUNT_SW_CPU_MIGRATIONS,"0,0,0,0,0,0","0,0,0,0,0,0","0,0,0,0,0,0","0,0,0,0,0,0"
perf::PERF_COUNT_HW_CACHE_L1D:READ:ACCESS,"2097148409,2502950381,2652516829,2732060808,2866596319,3024638103","27730979193,33210368890,35227961093,35516287567,36050660100,36595594515","5294029910,6314356843,6691796219,6898874487,7215134561,7630571675","72284428619,86564910810,91808726105,92571217037,93873675947,95321110472"
perf::PERF_COUNT_HW_CACHE_L1D:READ:MISS,"666979362,865409838,944773026,956246105,987954873,995836883","7298597885,10272800462,11304349516,11368845731,11546001256,11649627251","1685748509,2185519085,2380832211,2409783458,2468912124,2531114114","19053847232,26763312916,29450897154,29673318221,30009557991,30237614054"
perf::PERF_COUNT_HW_CACHE_L1D:WRITE:ACCESS,"188997699,192633836,198122364,203128904,211417499,218862453","1960111991,1980595111,2001504444,2018747902,2063921849,2092610207","473983704,480293698,490699073,500035981,516343682,527163602","5071412819,5112790822,5152038020,5182107987,5278466429,5324064203"
