,20kx1k,20kx4k,50kx1k,50kx4k
perf::PERF_COUNT_HW_CPU_CYCLES,"4264125406,10332303657,14809912087,20988551344,37134649441,52509617012","49466675920,122837463249,142322140614,181545207844,321456191342,399444038481","11336185274,27357649695,38546465459,55399826679,96756840103,127756356043","131345372131,319022299192,392236216163,479001493575,757439774955,887958094504"
perf::PERF_COUNT_HW_INSTRUCTIONS,"5722002822,6667466323,7114973422,7517071103,8372514568,9032928251","80412632424,91847077642,96083729301,97577282298,100870792791,103428943216","14428313904,16806723514,17910894164,18906141882,20955504190,22626162595","209409032747,239138854258,250126535462,254028995187,262298125260,268955183173"
perf::PERF_COUNT_HW_BRANCH_INSTRUCTIONS,"125989723,292261600,400042666,499846071,731651251,883939085","1272460541,3432115905,4227129440,4614130282,5470418907,6114909828","315744217,731695863,1000182621,1252900189,1779032575,2213604408","3296699323,8903675841,10978329550,11999599174,14171702842,15850985994"
perf::PERF_COUNT_HW_BRANCH_MISSES,"530801,1358713,2001142,2524494,3183970,4047314","4869708,13818015,17953086,20031640,25225336,29161903","1209183,3112971,4524156,5771961,7436347,8949314","12065095,34720796,44772499,50747978,62441643,71844398"
perf::PERF_COUNT_HW_BUS_CYCLES,"30237648,74531139,112352779,166125369,298208479,432526714","355445926,872029735,1092386633,1419694516,2217194872,2916456816","81581121,196062559,298621053,442320036,707076726,962031495","914303502,2290152599,2963868044,3854981711,5504009784,7252311643"
perf::PERF_COUNT_HW_REF_CPU_CYCLES,"3267175644,8062884792,12068502948,18337767804,32354813124,43556684544","38188804068,94081965408,118022089320,153374311512,238630611996,315116484192","8813061900,20892348144,30883152096,48100578300,77297633028,102803267844","99457687368,247284246132,315400599396,415334917620,594988118496,764939361060"
perf::PERF_COUNT_SW_PAGE_FAULTS,"0,161,11,112,175,229","209,240,86,0,0,633","0,0,0,0,0,810","76,171,292,74,43,1083"
perf::PERF_COUNT_SW_CONTEXT_SWITCHES,"0,0,0,0,0,0","0,0,0,0,0,0","0,0,0,0,0,0","0,0,0,0,0,0"
perf::PERF_COUNT_SW_CPU_MIGRATIONS,"0,0,0,0,0,0","0,0,0,0,0,0","0,0,0,0,0,0","0,0,0,0,0,0"
perf::PERF_COUNT_HW_CACHE_L1D:READ:ACCESS,"2097148253,2503929497,2669608042,2753371432,2927367924,3084664556","27730979064,33215460893,35294299417,35598638107,36277164249,36804140894","5294032509,6318079811,6729680910,6937999625,7359826505,7746888187","72284446289,86569134550,91977391754,92762449517,94456892539,95770628042"
perf::PERF_COUNT_HW_CACHE_L1D:READ:MISS,"666503459,849546451,914115852,926645755,956552752,986003713","7297325932,10250389303,11173725482,11236261455,11320477992,11361884870","1685892100,2141460695,2301300829,2332028417,2388185893,2467361468","19048451848,26724930150,29142346449,29296694573,29309166685,29331207629"
perf::PERF_COUNT_HW_CACHE_L1D:WRITE:ACCESS,"188997699,192715541,198244199,203205206,211643760,219287741","1960111991,1981325621,2002435457,2018065572,2060134160,2092663615","473983704,480412432,490846945,499874262,515828402,526848954","5071412819,5113901826,5154003198,5181528001,5259787157,5323083994"
perf::PERF_COUNT_HW_CACHE_L1I:READ:MISS,"184126,403710,410891,498590,705025,775817","1516547,2849678,3044874,3652767,4742766,5359730","383079,797841,779134,890592,1138457,1218119","3676071,6500142,6224174,7425846,7947229,8902910"
perf::PERF_COUNT_HW_CACHE_LL:READ:ACCESS,"105852899,65572139,29531710,29055152,32884500,36572822","506458793,847622298,340205131,424598107,201361763,216909387","252817751,229461162,126126609,125980032,139489108,136316961","1310446015,2403131476,1065767830,1274888748,705923022,684438456"
perf::PERF_COUNT_HW_CACHE_LL:READ:MISS,"4214656,10202397,8776361,9042141,11478630,13046443","56314744,146228823,133252466,140187790,122883565,134626068","26232741,34048817,28010752,29384899,33472934,40377672","161861572,404617062,363813783,388460748,341095625,342240332"
perf::PERF_COUNT_HW_CACHE_LL:WRITE:ACCESS,"8669175,7637519,4162315,4681373,7639507,6707391","143729463,156885482,109157307,113362784,45170142,49843686","22762070,18331698,8511845,9057844,10931992,11820850","371444189,398244483,262118308,268456241,90528085,71156530"
perf::PERF_COUNT_HW_CACHE_LL:WRITE:MISS,"138870,2178238,3180977,3368028,4554607,4321737","825655,11032402,18470091,24066208,26361265,33062317","514474,3464165,5156762,5284694,6224743,6890685","1603162,17489842,27210320,41555231,43172441,46037650"
perf::PERF_COUNT_HW_CACHE_DTLB:READ:ACCESS,"2097148368,2503921758,2669830047,2754252211,2928453958,3085864965","27730979267,33215859470,35296685995,35598077584,36267660468,36806056952","5294032391,6317844880,6729859453,6937898431,7360412253,7757179476","72284445947,86568906507,91978156001,92762271568,94461148662,95785827447"
perf::PERF_COUNT_HW_CACHE_DTLB:READ:MISS,"29878,1870,7526,57129,102518,165134","116596,19564,90837,431382,454797,668798","75415,4537,26561,138603,245631,308872","360640,1205369,1304848,1926254,2905324,3684684"
perf::PERF_COUNT_HW_CACHE_DTLB:WRITE:ACCESS,"188997845,192717610,198242429,203206966,211509416,219305522","1960112137,1981142325,2002421245,2018022958,2060148511,2092721559","473983668,480407850,490849045,499873249,515937364,526887649","5071412783,5113739045,5153825230,5182819518,5260710340,5322367581"
perf::PERF_COUNT_HW_CACHE_DTLB:WRITE:MISS,"751,366,465,457,973,2858","1170,3609,1681,5248,3227,12052","309,469,775,1172,2403,5412","7398,18191,26457,33011,50525,65672"
CYCLE_ACTIVITY:CYCLES_L1D_MISS,"2965137644,5931145365,6026242442,6884953847,9457765765,13524324181","30714916918,70487801793,67357520014,85033296632,138376245784,167337921142","8179710140,16473568288,16698412741,20779195020,31823842303,30802566142","80216231879,188595583461,187423834957,261070490688,290955087172,329452849685"
CYCLE_ACTIVITY:CYCLES_L2_MISS,"1647939629,3356841681,2800907249,3309851511,5411488033,9111070526","13532714576,38195738429,27768617118,37084564465,59909872017,94860505343","4940560529,10551227834,8809161565,10460305926,19471825402,19813533364","35975569835,106225206705,80625156174,115110556552,133544862850,162210064127"
CYCLE_ACTIVITY:CYCLES_L3_MISS,"503049912,2222900827,1817885318,2364481703,3348729664,4932970591","6967610439,20620068277,19399980384,25596587228,46705500627,64655891609","2288412957,7464145111,5426856224,6720191900,12798870980,12600053974","19977783807,58746195686,56048028358,81178111886,102289476057,117657139707"
CYCLE_ACTIVITY:STALLS_L1D_MISS,"1860490862,4381187266,4360483474,5618135417,7676561235,11594379508","17992455641,50875687919,47413598668,64127082439,106492433631,147715280996","5418633507,12908774596,12329029895,15371237395,26947966637,25587189615","48170487746,137875937418,134285075983,185432305137,244709987465,276886206770"
CYCLE_ACTIVITY:STALLS_L2_MISS,"1178964624,2798945717,2449368955,3172725929,4940148838,8640440183","10163265422,31714758439,24161570738,32688469720,57064438169,91091369786","3672348688,9123023301,7619815680,9214158443,17933921883,18190648882","27806233837,87683868145,70640922871,91401258331,125564469688,153184476728"
CYCLE_ACTIVITY:STALLS_L3_MISS,"457750598,1944262521,1658568979,2192980764,3115990485,4770442689","6461965367,18921004911,18009194149,24145209473,45215619850,62839156314","2000560710,6628565782,4937598806,6203492729,12163619862,11898376890","18121024746,52681594896,52613315440,67080349108,98486885513,113685624457"
RESOURCE_STALLS,"2504625625,5636884143,5937499243,7518452350,9468214571,12628809037","26640518677,67692474839,67742309317,94678243429,160789805887,214834587404","7184508361,16035148604,15390757774,19638110575,33425710854,29059516075","70923454809,178794821493,189624724043,259156776411,363141873480,407876191551"
L2_RQSTS:ALL_DEMAND_DATA_RD,"247474447,321410455,312842941,319739990,342952197,351556596","1539747900,3342136056,3087266684,3187569861,3097852959,3168451828","618133929,814887117,796689008,815447118,854290879,889874922","4074920780,8641629561,8146608063,8438242745,8049485459,8057655225"
L2_RQSTS:DEMAND_DATA_RD_HIT,"162796392,271424048,293191401,299795244,320058225,324790430","1175850785,2742404270,2836899267,2877743640,2933189136,2995306704","425684294,649518352,715344926,731965776,761149259,795641670","3118903876,6988978166,7381801066,7532312829,7525358005,7518695119"
L2_RQSTS:DEMAND_DATA_RD_MISS,"84629633,49594416,19950699,20060363,22864859,26768449","364002224,602396115,251128667,309506293,164024074,174586948","192430455,165084213,81710792,84313687,92769403,94235421","953625546,1718039261,758859224,910057911,546008973,527429214"
L2_RQSTS:ALL_RFO,"37371272,38197371,41252787,42899252,46717239,46934208","489588209,494899476,523462717,537701742,564713066,581702465","93144356,92385716,98495576,101354829,105720189,108837952","1272592070,1267136573,1328081693,1360181856,1420800517,1439104559"
L2_RQSTS:RFO_HIT,"30501517,31724162,37486000,38625096,39785562,40616630","369420792,356270357,424534225,433960107,517721909,534126973","75090025,77234308,91924031,93965252,96585084,98738786","962397363,927626324,1097733839,1122483037,1328444211,1365378102"
L2_RQSTS:RFO_MISS,"6879781,6509598,3785789,4256187,6917631,6392526","120284559,138478989,98939050,103231929,47001106,47531406","18153762,15134324,6592235,7360635,9145424,10103741","310325881,333792922,230415858,237309059,92367175,73682664"
L2_RQSTS:ALL_CODE_RD,"175555,380016,388774,482190,660228,734769","1449728,2722526,2907374,3439828,4484650,5062008","376808,750615,737271,854857,1122148,1175516","3560683,6310834,5874814,7101469,7791896,8535273"
L2_RQSTS:CODE_RD_HIT,"1478,11484,16499,22960,44037,50262","4327,43400,67578,94199,191749,257024","1756,11159,22962,33857,67578,100718","8872,39514,88881,158605,274808,420417"
L2_RQSTS:CODE_RD_MISS,"176554,371360,373473,458078,618687,677381","1468609,2696418,2844277,3333592,4300649,4793066","371937,747363,715013,805273,1059516,1084191","3565255,6413327,5755307,6966325,7548287,8110907"
L2_RQSTS:ALL_PF,"690653655,833155240,870307041,869290024,881820868,898278579","9423903263,11037393868,11639923906,11693272643,10527544883,10457731128","1818436488,2125835424,2236625189,2222125672,2225470102,2282021703","24303863946,28950703863,30440422093,30552616821,27541209018,27057341186"
L2_RQSTS:PF_HIT,"449083285,560716881,631540790,625957645,621115899,633133719","6209563205,7382223272,8966908080,8819866809,8602215427,8439867570","1142233616,1417678892,1536224648,1509430604,1487435499,1511724958","16005692579,19237123419,22913243817,22631790523,21914079846,21457374909"
L2_RQSTS:PF_MISS,"241090965,272862154,243874776,247773740,260653068,265434393","3214597907,3658242795,2709198241,2863217249,2005206520,2015797060","676682331,707273737,701386344,721939290,738890577,770116724","8304020444,9691713408,7532454724,7883355272,5626490546,5595454267"
L2_RQSTS:ALL_DEMAND_REFERENCES,"284991850,358659001,356265039,367589769,391422126,399504032","2030521596,3800176952,3635538881,3739808278,3707983304,3753838831","711561496,902961154,897375803,930039722,960958417,999565082","5345022546,9981083732,9495755128,9795731893,9495471756,9505002859"
L2_RQSTS:ALL_DEMAND_MISS,"91756503,55741821,24424886,26221774,30694160,33772359","485502561,746962079,354005089,418099481,221531386,227688794","210920526,180265829,86295676,97132851,103181985,105179962","1270037674,2078690709,985362633,1149042872,644454652,619658721"
L2_RQSTS:REFERENCES,"976104327,1191830612,1231722407,1241745055,1273512369,1298763190","11455305346,14850914673,15309107659,15425535768,14316074347,14209840756","2530261607,3027272398,3134006775,3161808707,3186967002,3282347056","29653336767,38973833064,39945909410,40310548646,37051542952,36560998780"
L2_RQSTS:MISS,"333218535,328459434,268144053,274133950,291388051,298663398","3701547192,4404132255,3063659823,3281874071,2226397688,2243623431","887173157,887253083,787826672,818117735,841784304,875483087","9569757372,11786246126,8516776671,9029242023,6273853855,6198669109"
OFFCORE_RESPONSE_0:DMND_DATA_RD:ANY_RESPONSE,"105846911,65422438,29928169,30246606,33070021,36550735","507172282,856387748,341807294,427467805,205297315,213189686","254479572,222434703,122977296,129101526,136885517,136130066","1313443058,2428533547,1062508161,1268624229,705821445,691040653"
OFFCORE_RESPONSE_0:DMND_RFO:ANY_RESPONSE,"8658652,7614935,4649529,5712392,7760281,6664390","143870481,157071410,110391134,113601927,52861293,49952879","22707362,18071647,8430821,11843536,10659297,11826968","370997843,404055445,258672554,268231023,91940582,71835505"
OFFCORE_RESPONSE_0:DMND_CODE_RD:ANY_RESPONSE,"173491,366078,375288,458461,613070,674478","1452532,2655918,2821876,3343642,4295215,4779960","374881,742406,711716,827730,1057789,1066147","3520930,6167406,5801683,6928261,7441634,8708995"
OFFCORE_RESPONSE_0:PF_L2_DATA_RD:ANY_RESPONSE,"153685898,180035224,179159331,178666440,184818658,191577651","2223798397,2180884285,1822808849,1823366292,1372559596,1351494334","437371879,467056709,517833527,522778774,533804960,562635388","5763361191,5869704690,5189325021,5117949709,4010914449,3956961791"
