,20kx1k,20kx4k,50kx1k,50kx4k
perf::PERF_COUNT_HW_CPU_CYCLES,"4186449495,4893202708,7641063153,5489665304,8297425650,42126737229","45916924583,56291797496,91758351321,74572675848,96434185096,293135243966","10831753828,13621019670,22099527284,12261527960,16720307238,98999729402","123390674890,150580058778,245237180051,187090509632,272065431079,762779445883"
perf::PERF_COUNT_HW_INSTRUCTIONS,"5722002621,6649682839,6994057988,4273829344,4853705823,8587223380","80412630973,91757456951,95564359705,57589611114,64514903284,101892843339","14428313957,16753264334,17627763176,10650814407,11986847132,21859623736","209409030493,238937700108,248829565670,149457202816,166896152472,265558403310"
perf::PERF_COUNT_HW_BRANCH_INSTRUCTIONS,"125989652,286451839,363712161,235480237,305138218,768235214","1272459590,3405596222,4081818048,2514789700,2992790500,5693969696","315744139,716889431,923186009,562302172,705514906,1993767912","3296697556,8843554965,10607666720,6415187437,7501228070,14880718632"
perf::PERF_COUNT_HW_BRANCH_MISSES,"531990,1277829,1928916,1468742,1940338,3582347","4853610,13092148,16769362,11317554,15449017,25835963","1214089,2944216,4364620,3288834,4281652,7894912","12064948,32808012,41508913,27477326,37223760,63254364"
perf::PERF_COUNT_HW_BUS_CYCLES,"28944075,36724338,62546751,44487749,84531220,379257344","338420639,426814428,741955416,675441179,1012216868,2650764730","78408577,100488430,176689108,117173085,248579565,916732964","872117056,1137329566,1972646184,1725777703,2486041487,6314482765"
perf::PERF_COUNT_HW_REF_CPU_CYCLES,"3124911600,3978779688,6855743556,4798224720,9166511772,41145967584","35768984256,46096234668,80061188508,72941661720,107073515436,286570890216","8462665296,10854072720,19381044420,12173590260,25789637124,99304538940","94224073104,122840038440,212903318592,186309046656,267968228508,690853464432"
perf::PERF_COUNT_SW_PAGE_FAULTS,"0,102,198,0,127,196","131,649,279,307,350,363","0,89,0,0,73,0","551,205,185,296,0,1540"
perf::PERF_COUNT_SW_CONTEXT_SWITCHES,"0,0,0,0,0,0","0,0,0,0,0,0","0,0,0,0,0,0","0,0,0,0,0,0"
perf::PERF_COUNT_SW_CPU_MIGRATIONS,"0,0,0,0,0,0","0,0,0,0,0,0","0,0,0,0,0,0","0,0,0,0,0,0"
perf::PERF_COUNT_HW_CACHE_L1D:READ:ACCESS,"2097145937,2502715466,2652909838,1607232306,1793756591,3025009760","27730979028,33210018871,35227725574,21175476855,23590360740,36581250328","5294030602,6314397550,6693377661,4033890811,4483732767,7639191316","72284445504,86564834031,91808334276,55099807397,61298781837,95307615420"
perf::PERF_COUNT_HW_CACHE_L1D:READ:MISS,"666587989,865268885,944507969,563013834,610846920,995845609","7306179900,10253144594,11300273654,6783703957,7535897734,11649739603","1686164210,2185055241,2374988682,1412183135,1539126932,2531111274","19051801404,26803454058,29437766397,17668732753,19648521416,30230794672"
perf::PERF_COUNT_HW_CACHE_L1D:WRITE:ACCESS,"188997699,192633604,198110289,121043151,132547946,218775085","1960111991,1980509585,2001514589,1213684823,1350926332,2091895603","473983704,480290643,490723621,295108734,319561559,527007732","5071412819,5112109313,5151957863,3098769665,3432706387,5320103566"
perf::PERF_COUNT_HW_CACHE_L1I:READ:MISS,"188615,361354,526167,1874251,3187945,1332950","1452905,2745080,3593030,8813346,14953387,8472613","392133,724962,875979,2222424,3703520,1912707","3551843,6461062,6938567,12252636,18572070,14183571"
perf::PERF_COUNT_HW_CACHE_LL:READ:ACCESS,"101142753,40350830,19551960,12689980,15305477,34238804","383220129,155772704,97986188,74886959,85029858,183911405","244852197,149597888,140870065,76526644,73599213,132767804","1039661179,718808047,590381806,343916491,337601144,589122497"
perf::PERF_COUNT_HW_CACHE_LL:READ:MISS,"4099182,3013737,2203849,3328881,6523956,14373192","50606594,42126429,39302375,34050084,45786441,96678076","21835177,20197165,16191340,10591821,24168901,42606720","157278179,128643194,118556522,98024878,149806982,259987264"
perf::PERF_COUNT_HW_CACHE_LL:WRITE:ACCESS,"6715593,4869052,7486007,5600345,4625350,11811142","59801090,49136016,41502221,32446785,30164148,72616818","14109128,11547146,12346223,8183380,13663111,15657694","194365685,141827623,78067210,64674897,79489433,96425544"
perf::PERF_COUNT_HW_CACHE_LL:WRITE:MISS,"141084,278729,254448,2319232,2971325,6741121","859443,2109400,3680143,15572412,20288248,42786930","444221,625182,538681,3556927,5925816,8479736","1613603,2945000,5128560,26347763,37019538,55354196"
perf::PERF_COUNT_HW_CACHE_DTLB:READ:ACCESS,"2097134558,2502618969,2652575944,1607258014,1793752242,3026854768","27730979033,33210322541,35227646547,21175453906,23589545860,36590550924","5294031559,6314944670,6692857710,4033920010,4483562261,7642210292","72284445500,86564793518,91808280284,55100558730,61300874792,95306053860"
