,20kx1k,20kx4k,50kx1k,50kx4k
perf::PERF_COUNT_HW_CPU_CYCLES,"4096388425,10413250246,15022267881,21114691776,37180987900,51975679874","45947625331,121852749590,143734158432,194166875489,275253280031,373812271432","10715568313,27076206402,38712954444,55550544981,94745567643,126136436316","120799788846,321527727445,376937332088,511999582159,714428213796,913999342846"
perf::PERF_COUNT_HW_INSTRUCTIONS,"5722002733,6667616298,7112356096,7510275673,8372409657,9053515190","80412630754,91847764450,96085886684,97564290810,100788584548,103459029981","14428313756,16800343762,17902670689,18896188830,20950007618,22661608248","209409030232,239147652357,250083396400,254027306185,262320223404,268925970267"
perf::PERF_COUNT_HW_BRANCH_INSTRUCTIONS,"125989680,291591194,399640670,497806828,717595900,887896867","1272459524,3433100997,4228459198,4617374557,5467896090,6125127783","315744051,730315277,1000553902,1249327332,1782188075,2227426246","3296697473,8906339014,10964637099,12000744939,14152408235,15851021303"
perf::PERF_COUNT_HW_BRANCH_MISSES,"529661,1361974,1984691,2533420,3218617,4042823","4861634,14144374,17833087,20341286,25426090,29359907","1209803,3118968,4521681,5673370,7534436,9247594","12055516,34801852,44585217,50328920,62312378,73571182"
perf::PERF_COUNT_HW_BUS_CYCLES,"28510087,75149976,111355328,169338810,299050797,402334013","338312011,876835938,1079627048,1492026111,2147817586,3191583463","77776302,194268365,292635649,422284280,731061391,972970287","878190747,2275374836,2814481120,3692639120,5511324651,7641141205"
perf::PERF_COUNT_HW_REF_CPU_CYCLES,"3096587232,8126342460,12032542296,18559013688,31790606940,43650341856","35917148916,94535712936,116560554300,152072005536,232204125996,344551856976","8200841040,20944953396,31397864616,50161646052,75795132204,105550527168","92801728800,245829725532,303770326608,398968946928,595726378884,825161020164"
perf::PERF_COUNT_SW_PAGE_FAULTS,"3,0,0,117,189,37","104,70,0,0,0,0","0,20,586,580,0,78","395,387,616,857,664,363"
perf::PERF_COUNT_SW_CONTEXT_SWITCHES,"0,0,0,0,0,0","0,0,0,0,0,0","0,0,0,0,0,0","0,0,0,0,0,0"
perf::PERF_COUNT_SW_CPU_MIGRATIONS,"0,0,0,0,0,0","0,0,0,0,0,0","0,0,0,0,0,0","0,0,0,0,0,0"
perf::PERF_COUNT_HW_CACHE_L1D:READ:ACCESS,"2097148171,2504098341,2669713420,2753394393,2925458384,3083252856","27730979049,33217847889,35298371127,35598607680,36272485482,36801053515","5294032023,6317909740,6732877491,6942212161,7363706564,7750770735","72284445603,86574641686,91972969705,92758267294,94440664724,95799588921"
perf::PERF_COUNT_HW_CACHE_L1D:READ:MISS,"666622833,851850160,913227908,925255153,957248489,991526224","7299792562,10282793173,11184658999,11240530199,11357520273,11279271922","1686328148,2141804879,2315915675,2338746545,2384939933,2464155130","19052755023,26780985798,29265162818,29141027928,29322277614,29278377313"
perf::PERF_COUNT_HW_CACHE_L1D:WRITE:ACCESS,"188997699,192726925,198249986,203218581,211543709,219259139","1960111991,1981199561,2002398990,2017336975,2060097773,2092553354","473983704,480392705,490814539,499738142,515959211,527185964","5071412819,5112962695,5153550142,5179695633,5260967340,5319538971"
perf::PERF_COUNT_HW_CACHE_L1I:READ:MISS,"177551,398026,420302,504289,692867,796952","1450045,2820752,3061412,3548312,4710244,5174838","386060,764367,769773,890243,1138171,1177306","3404942,6435586,6155964,7513499,8339843,8812045"
perf::PERF_COUNT_HW_CACHE_LL:READ:ACCESS,"99153593,65854119,29862593,29418577,33248570,39458843","394938916,858909414,348479682,432139358,205665185,204298877","233100084,228177719,128161872,134552542,141097565,142210375","1002015682,2509593855,1041222855,1297831478,714269500,695020310"
perf::PERF_COUNT_HW_CACHE_LL:READ:MISS,"3971808,10765196,8744245,9007047,11524395,14525333","49939924,152562256,130906689,142003167,125121210,124650964","23266294,34083034,29648898,30258286,34574440,40148388","152611625,390707325,354810817,385210440,338568536,346036729"
perf::PERF_COUNT_HW_CACHE_LL:WRITE:ACCESS,"4614045,7903810,4173283,4804514,7646069,8853088","69952988,160460530,108656824,116081570,52886585,39336834","13761887,18300143,9824340,12021351,10971047,11999101","167032402,388832374,256866441,265114667,92956739,71258463"
perf::PERF_COUNT_HW_CACHE_LL:WRITE:MISS,"140779,2230548,3171746,3453923,4547952,5054151","853145,11116552,18498078,24472272,31512613,28475529","497157,3366953,6000350,6540629,6212696,6900058","1684298,17222523,30174799,34946694,43632473,46676791"
