,20kx1k,20kx4k,50kx1k,50kx4k
perf::PERF_COUNT_HW_CPU_CYCLES,"4114047887,6091713417,9963272505,15536465209,27673947860,41805373452","45981095073,64891298524,97635064262,138113943779,210981244830,324359541195","10715269701,16081276175,26667611640,41077947744,69499163460,97394664501","122451276404,166616656872,252331568689,371299622884,530514614940,720454326898"
perf::PERF_COUNT_HW_INSTRUCTIONS,"5722002609,6660897186,7046702683,7359432236,8102543881,8676345308","80412630692,91812047925,95828136973,97117525482,99913511024,101915629296","14428313764,16779600929,17756604521,18579612386,20331138766,21842335193","209409030439,239074875238,249482444174,252725293623,259949112735,265841563996"
perf::PERF_COUNT_HW_BRANCH_INSTRUCTIONS,"125989674,289606994,379336195,459473134,638941551,777548871","1272459280,3423795852,4154037479,4480423410,5197542471,5702365561","315744061,725005737,958730274,1163642803,1596368503,1984013391","3296697271,8885331863,10793841734,11653945105,13500585159,14946132774"
perf::PERF_COUNT_HW_BRANCH_MISSES,"531153,1276351,1915121,2349163,2870934,3581305","4866909,13137848,16776361,18588946,22965903,25939930","1211304,2945760,4341491,5383654,6500437,7920864","12058299,32929808,41570034,45810736,56220951,62688680"
perf::PERF_COUNT_HW_BUS_CYCLES,"28742839,44724263,80788248,124936200,268552211,380467585","324941534,472802360,773253568,1091578405,1847253798,2814327738","77643663,116718368,211339870,332849239,611381651,933546589","878880954,1244792792,1970582607,3144211136,5550579378,6829683670"
perf::PERF_COUNT_HW_REF_CPU_CYCLES,"3154909140,4833344628,8774905824,13629423420,27629746560,40776233940","35220272184,50703243048,80667870696,117869131188,199311535980,303253595100","8246536488,12712545144,22895472564,35743014072,66256092540,101334865171","95128792308,135569739276,209371214952,351807228900,600958143468,761143219739"
perf::PERF_COUNT_SW_PAGE_FAULTS,"0,175,134,1,0,0","136,271,290,1109,339,409","0,0,0,0,211,21","519,258,20,310,28,1772"
perf::PERF_COUNT_SW_CONTEXT_SWITCHES,"0,0,0,0,0,0","0,0,0,0,0,0","0,0,0,0,0,0","0,0,0,0,0,0"
perf::PERF_COUNT_SW_CPU_MIGRATIONS,"0,0,0,0,0,0","0,0,0,0,0,0","0,0,0,0,0,0","0,0,0,0,0,0"
perf::PERF_COUNT_HW_CACHE_L1D:READ:ACCESS,"2097148310,2504293899,2660229377,2734943409,2891269266,3027257562","27730979077,33219626279,35262876597,35529579809,36140275487,36598134362","5294031638,6318390274,6710883587,6896703620,7273261813,7631123835","72284445474,86581571840,91895674672,92601691742,94107997172,95334029058"
perf::PERF_COUNT_HW_CACHE_L1D:READ:MISS,"666736067,866145605,942013401,958782011,982220927,995802289","7305428094,10262805817,11301625475,11369945382,11524190898,11614983522","1686210724,2185827024,2374466663,2409241894,2466704375,2544459306","19053206842,26807561847,29485077032,29622163787,29996956823,30329473618"
perf::PERF_COUNT_HW_CACHE_L1D:WRITE:ACCESS,"188997699,192692914,198284256,203298159,211624478,219296507","1960111991,1981251119,2002234229,2019335538,2060278333,2095173216","473983704,480375946,490938069,500108816,516079327,527799830","5071412819,5112748363,5153941069,5185245368,5267336388,5334534247"
perf::PERF_COUNT_HW_CACHE_L1I:READ:MISS,"184298,395916,554516,788203,1126594,1356067","1459049,3004520,3997665,5112334,6867583,8998054","388456,872196,944070,1273618,1596281,1951215","3436780,6930820,7592468,9610298,12579967,15688816"
perf::PERF_COUNT_HW_CACHE_LL:READ:ACCESS,"96344983,35136367,19878005,19978979,22537392,33661359","368944182,142505050,107077568,118658899,131576503,162867426","234946033,124817317,116337331,122395288,119150165,136705836","1052953732,570477133,509079044,534361783,528177187,629614798"
