,20kx1k,20kx4k,50kx1k,50kx4k
perf::PERF_COUNT_HW_CPU_CYCLES,"4145598613,10480712087,14822316367,21240585215,37236242620,51910820672","49951536944,131886229735,150586002147,191777646967,307858168297,398506709308","10736832927,27738998591,40250785606,57648750057,96415189327,130262776714","130641879329,347048268127,397651465679,541821621726,774822106275,987106763539"
perf::PERF_COUNT_HW_INSTRUCTIONS,"5741563256,6674572957,6858635859,7203991875,7976264935,8661437121","81389702545,93019026948,93745467102,95171348110,98314313108,100989677172","14479245105,16820866282,17303465063,18159206798,20097473335,21748163415","211972854954,242246094307,244113085941,247935197501,256035759686,262471815084"
perf::PERF_COUNT_HW_BRANCH_INSTRUCTIONS,"121696056,274382663,346284818,438400191,649622498,820901324","1288999620,3313004014,3611124357,3976128385,4789038369,5482329760","305066747,688779858,875383228,1110037525,1623191199,2060862526","3340939429,8607711689,9388273855,10364261512,12502440035,14173245988"
perf::PERF_COUNT_HW_BRANCH_MISSES,"536655,1237820,1631493,1983541,2462391,2957925","5398242,13252199,15276186,16769215,20808758,24159556","1252219,2807710,3637676,4454263,5330750,6357637","13592921,33882226,37641726,43028357,50911799,58922662"
perf::PERF_COUNT_HW_BUS_CYCLES,"28974421,73940846,111144734,162628151,299356200,420922292","356212451,950377226,1139914516,1479038279,2464885960,3006502422","74492015,197218824,297567234,461900703,729892582,1113295075","920399446,2487418501,3110632709,4482866273,6071617882,8701872820"
perf::PERF_COUNT_HW_REF_CPU_CYCLES,"3051456588,7986743928,12072029040,17471875356,31889782332,47766327408","38181024144,102366679788,123175195884,159742266264,266263191612,328137999120","8115581160,21669289812,31824553176,49766579424,78858156240,120131141976","100157331240,268584086700,329949343080,484525213920,650142945000,1037556150077"
perf::PERF_COUNT_SW_PAGE_FAULTS,"39,0,142,194,0,202","187,110,0,400,367,605","8,125,0,0,0,269","524,133,0,261,414,394"
perf::PERF_COUNT_SW_CONTEXT_SWITCHES,"0,0,0,0,0,0","0,0,0,0,0,0","0,0,0,0,0,0","0,0,0,0,0,0"
perf::PERF_COUNT_SW_CPU_MIGRATIONS,"0,0,0,0,0,0","0,0,0,0,0,0","0,0,0,0,0,0","0,0,0,0,0,0"
perf::PERF_COUNT_HW_CACHE_L1D:READ:ACCESS,"2097516733,2548584220,2578213566,2644282001,2790027847,2937500596","28360754013,34663228762,34770255483,35047873381,35675885728,36211332265","5294711850,6431025398,6503969868,6667725737,7033412515,7391526936","73926124263,90346229738,90610705447,91339736326,92938559188,94214970958"
perf::PERF_COUNT_HW_CACHE_L1D:READ:MISS,"624117713,806143000,809874017,822891391,859001875,889143492","7160922669,10076432388,10013142623,10026385884,10207600400,10257521277","1575952429,2040561951,2044116035,2078456814,2152912000,2241522095","18672200409,26351648465,26256626663,26192993025,26447710025,26642868088"
perf::PERF_COUNT_HW_CACHE_L1D:WRITE:ACCESS,"197835801,201919084,206998908,211904274,220084916,228133977","2238383885,2261095547,2278743969,2293475079,2337082972,2370395119","496230815,503611955,512911601,521545968,537412349,548676608","5796396449,5843115572,5874434322,5903595531,5978188283,6051165990"
perf::PERF_COUNT_HW_CACHE_L1I:READ:MISS,"181013,398190,437912,542827,762509,854737","1559502,2759471,3134430,3652189,4791258,5569651","373652,733705,781065,948535,1244282,1382025","3912472,6020416,6428164,7721481,7874175,9942652"
perf::PERF_COUNT_HW_CACHE_LL:READ:ACCESS,"80489785,50733579,29503902,29900823,34198823,41015235","334156223,660105954,334014241,386177402,236508239,245172278","208327789,186316001,126840957,129616822,140613152,147162789","913434573,1894801047,1053393232,1163600362,824262219,794248464"
perf::PERF_COUNT_HW_CACHE_LL:READ:MISS,"4060352,10311163,9693481,10033898,12477819,15418961","56235659,172904283,166420747,173227344,148330148,154872869","18716061,36701477,32091627,33706950,39926336,47963721","159028832,490093800,457198847,466617584,429376798,424682408"
perf::PERF_COUNT_HW_CACHE_LL:WRITE:ACCESS,"5417799,8807119,4531651,5223662,8372309,9768398","92401184,189960063,139578047,143394345,61668917,56619791","15573435,21391778,9954895,11882982,15953586,18031460","204538687,475308643,342491080,344286223,128750909,107314024"
perf::PERF_COUNT_HW_CACHE_LL:WRITE:MISS,"149765,2661409,3601803,3966695,5223902,5594270","994191,12934122,21427170,25388576,35220000,38693590","379680,4235858,6324318,6841256,8478883,9657789","1638531,19459753,32697409,44320339,60864453,64758993"
perf::PERF_COUNT_HW_CACHE_DTLB:READ:ACCESS,"2097516787,2548568183,2578213621,2644088537,2787863493,2942550352","28360754223,34663392844,34770177033,35046763961,35676252149,36204792125","5294712259,6430887357,6503895064,6667650959,7030508406,7390450288","73926124437,90346530862,90612279629,91329121714,92928377000,94202297654"
perf::PERF_COUNT_HW_CACHE_DTLB:READ:MISS,"3,8132,25835,74168,123439,178876","6834,16223,99664,342295,554042,810706","188,16633,54785,205451,305425,373890","18585,1066159,1741195,1994257,3292059,4178595"
perf::PERF_COUNT_HW_CACHE_DTLB:WRITE:ACCESS,"197835803,201919064,206989836,211906025,220046637,228110475","2238383885,2261197675,2278814431,2293477832,2337045552,2370288845","496230815,503562365,512899379,521577683,537407475,548660763","5796396449,5842881145,5873894157,5899597757,5978216119,6045976885"
perf::PERF_COUNT_HW_CACHE_DTLB:WRITE:MISS,"22,523,1173,1472,1342,1284","457,614,2052,3150,9735,9167","47,450,1228,994,4352,8412","2367,9216,28618,32352,75446,91006"
CYCLE_ACTIVITY:CYCLES_L1D_MISS,"2687889096,5837548869,5792970973,6660882983,10946057866,12286031955","28184877403,80282899291,74868244060,87496946379,137573384157,169218503263","7195281094,16642258802,17144176130,19951602995,29323431458,39574536975","73677552269,216548246337,200132693862,240759220835,330049926469,399174651556"
CYCLE_ACTIVITY:CYCLES_L2_MISS,"1409855101,3100845334,2859423910,3418064119,6529973323,8286336810","11594572784,41408054423,32220631333,40276857330,65496407246,90929647773","4011987493,9858363813,9367893364,11105146895,17980905238,27701294088","32639881749,112261645781,90673206516,110425571906,154597728956,204200102371"
CYCLE_ACTIVITY:CYCLES_L3_MISS,"517630465,2106528184,1948148449,2268959295,4265210747,4960221608","7188848657,23138874349,24272460070,29671549080,50856906098,64749272014","1773215257,6828089746,6429795003,7582571490,12086259756,18033856850","20270992737,69565415306,67437279097,81500212947,123875192710,153095618494"
CYCLE_ACTIVITY:STALLS_L1D_MISS,"1833692302,4264716830,4298213219,5082644654,9204523731,10642547437","20446745806,58197656530,55801147931,68655468059,120036635658,151401508963","4756402683,12537043638,13263023215,15873838656,24827670615,34867663873","50221801244,160641214448,149470577679,190570495736,283866539086,351672848405"
CYCLE_ACTIVITY:STALLS_L2_MISS,"1048644042,2595351297,2505946419,3044479938,5990246699,7778434297","9609318396,33651642376,28593337953,35787477071,62380356195,89399105365","2958143847,8711339910,8223650175,9812516967,16360917114,25826866925","24671350220,94503918719,79680492530,97311450180,152272838244,193705961869"
CYCLE_ACTIVITY:STALLS_L3_MISS,"491059125,1850184313,1769646653,2151422189,4013414450,4840170132","6612953064,20947210247,22562749055,27861568754,49182069698,64649817478","1531867006,6667213702,5854495205,6990864215,11317455970,17168811401","18081004234,59575432362,62171072107,75610725265,120708840718,148064626908"
RESOURCE_STALLS,"2409081709,5688924366,5688585970,6567643187,11575038702,13261402644","26230443586,76019016258,79315173847,96235370838,170703329884,216243661248","6233008900,16702126742,16791836434,19830703775,30417884610,39745101292","69538740026,201484138184,206171128047,265924175886,425647507032,489122679121"
L2_RQSTS:ALL_DEMAND_DATA_RD,"186597508,229857161,211800656,220490771,248818952,267444137","1094663400,2386819195,1866394820,1935089054,1884151041,1935494669","479515007,581887962,551434432,578231924,634230445,674553285","2804679478,6293174549,4985028026,5192818964,4941201782,5035264434"
L2_RQSTS:DEMAND_DATA_RD_HIT,"121950988,191884290,191049865,198982316,223603288,235791689","822639570,1912111401,1600358440,1637644233,1686200276,1731590388","314688732,442344765,466749064,488015911,534309736,569039819","2064172136,4974364070,4184388516,4313415858,4297398943,4405806163"
L2_RQSTS:DEMAND_DATA_RD_MISS,"64685289,37737777,20756148,21530765,25212432,31670932","271856576,476058693,265735025,297065376,198170352,203211869","164843972,139335385,85587959,91090813,99544462,106226907","736356034,1336619209,801373810,881702400,646398524,635619350"
L2_RQSTS:ALL_RFO,"43526167,44079826,47236386,48718284,53421047,55584400","591832430,578279642,608875737,620490898,660841024,666573275","109210968,106908767,114275635,118181798,125215138,129497523","1544466068,1482305440,1550533040,1582457118,1669483823,1703022157"
L2_RQSTS:RFO_HIT,"39328192,36614348,43283908,44178276,46046205,46998163","515286409,411872692,479656848,488656939,605392248,620663026","97087174,89664492,107098559,109113538,112088191,114075738","1375750859,1080268405,1249526356,1280255498,1558196117,1606912607"
L2_RQSTS:RFO_MISS,"4189334,7472452,3965130,4546506,7360644,8584981","76464500,167705525,129195804,131815324,55498667,51997069","12116850,17490820,7174759,9073174,13148580,15445008","168550376,398442983,300711346,301909660,111482759,96233972"
L2_RQSTS:ALL_CODE_RD,"172273,377239,414261,523476,725242,828416","1588238,2578874,2973955,3525116,4615254,5241821","365297,717648,743937,904452,1160133,1313558","3848203,5771210,6205292,7134627,7728221,8748357"
L2_RQSTS:CODE_RD_HIT,"303,11672,16029,22866,43622,66063","2166,44340,71752,96027,198625,262524","372,9533,23331,44647,90942,132138","6619,37713,102719,175139,367718,530587"
L2_RQSTS:CODE_RD_MISS,"169982,360468,399672,499911,683673,763512","1554456,2533034,2900412,3411125,4412260,4967496","359730,706675,714663,862877,1071959,1186917","3811004,5775212,6115344,6917687,7373741,8168525"
L2_RQSTS:ALL_PF,"674833598,878247743,844311295,842165730,857092687,874027171","9068733552,11827932931,11615591243,11582995447,10746610569,10582197226","1720027037,2216689522,2160372959,2147079643,2158862225,2207584895","23704905525,31225065833,30507244070,30378794346,28030671668,27581877341"
L2_RQSTS:PF_HIT,"462221323,607800523,614604527,608307158,604752270,611754427","6339389825,7662760118,8720833029,8523343633,8555982770,8403114596","1153009229,1514286880,1501992039,1472816498,1449033155,1473543215","16554831376,20329972998,22459737451,22071244505,21962531903,21557256535"
L2_RQSTS:PF_MISS,"212809054,270096511,229482678,233368990,252391199,261969882","2727887794,4162942756,2894482197,3060085806,2190411089,2180053347","566703183,701799619,658300249,673815329,709852115,731609767","7159772010,10983293199,8052396812,8312234066,6038601432,6021688038"
L2_RQSTS:ALL_DEMAND_REFERENCES,"230282256,272266130,260572019,271094387,302047324,323891576","1688276461,2978708585,2455288181,2558897268,2548736257,2592846766","589100376,689503278,665628988,697137430,759959723,805557849","4350371328,7753371026,6568663342,6789047458,6602290637,6747020016"
L2_RQSTS:ALL_DEMAND_MISS,"69003972,45242855,25125873,26728314,33151049,41017105","350041057,652466787,399873640,432766014,258010438,258957821","177332172,157811270,94254047,100481538,113117525,122605651","912482026,1786718443,1106255534,1189364805,763523574,739226475"
L2_RQSTS:REFERENCES,"904933439,1150380123,1104351877,1113069743,1159056415,1197821703","10750369262,14803591698,14057171486,14140947672,13295365873,13156417171","2309869614,2906408433,2826310638,2843180634,2918169918,3008805873","28072764561,39025002382,37019448688,37143874678,34553459929,34328956732"
L2_RQSTS:MISS,"281374139,315914957,254800588,259889223,285553222,303013182","3077677007,4801814080,3285493723,3492634645,2448974722,2424291155","743837668,860931971,752259496,774381291,823737831,853998583","8085948261,12745553071,9146972229,9491465686,6800431714,6761437383"
OFFCORE_RESPONSE_0:DMND_DATA_RD:ANY_RESPONSE,"80487511,50434387,29422593,30204837,34295898,41118636","333758021,681628995,340358762,386791378,236354746,241088270","207719129,187453121,124988476,129748229,139851225,148493765","911217744,1907646956,1058755859,1159088492,808616795,798862636"
OFFCORE_RESPONSE_0:DMND_RFO:ANY_RESPONSE,"5440285,8920890,4555160,5153467,8431576,9716576","92623314,185744120,143204880,143506984,61468593,44655840","15585190,21367600,9972254,11897830,16006051,18197787","204700439,473118549,344165359,336161377,127700240,109217555"
OFFCORE_RESPONSE_0:DMND_CODE_RD:ANY_RESPONSE,"174739,358471,395169,500663,679271,756445","1583615,2576441,2873099,3388360,4386358,4691303","358684,700475,708203,851100,1056430,1194315","3862311,5767098,6054780,7037652,7672906,8620840"
OFFCORE_RESPONSE_0:PF_L2_DATA_RD:ANY_RESPONSE,"146369425,177205692,165391581,164958317,172406037,178624309","2051926612,2398487734,1877751952,1897830811,1475957268,1428151034","387455564,458512272,476303156,480479357,493968091,503048847","5416075696,6429331519,5347155373,5245954100,4201274974,4128010879"
OFFCORE_RESPONSE_0:PF_L2_RFO:ANY_RESPONSE,"22792983,33447049,26841587,29874324,42334923,46363406","149130753,350964755,321319043,340447724,262955693,236236216","62178926,67191494,62760725,72816813,90909972,102992164","388009184,852012868,771471702,835914976,568119393,567359797"
OFFCORE_RESPONSE_0:PF_L1D_AND_SW:ANY_RESPONSE,"26086900,44665337,27064045,28249600,26685435,25362202","448176558,1148658817,588972706,708861258,403424176,413833636","70158536,124006577,77177937,77585395,80108510,74172948","1155077559,3056027454,1598652566,1859976473,1096687050,1132005992"
Runtime,"1.16144,0.781766,0.393136,0.349119,0.347629,0.368525","14.2851,9.8109,3.97405,3.07711,2.93772,2.92378","3.05197,2.06349,1.02443,0.921355,0.884187,0.950075","37.417,25.7268,10.4531,8.7305,7.28938,7.37739"
