,20kx1k,20kx4k,50kx1k,50kx4k
perf::PERF_COUNT_HW_CPU_CYCLES,"4131429622,4961675179,7739850457,14924011692,24604755464,41258814032","49514994675,62834777850,96209228659,152436157986,237184592211,352569444003","10651600124,13888473142,22764249756,40773839950,60892967592,100539045898","130040814478,167292519455,277191449061,400436682934,569638192786,782981216364"
perf::PERF_COUNT_HW_INSTRUCTIONS,"5741563262,6656331526,6728514558,7034978788,7542356322,8248619263","81389701920,92933109145,93214531827,94550402194,96778321370,99501129108","14479245093,16778671387,16985927674,17825025002,18943475582,20821472434","211972854529,242026388405,242746899256,246432469889,251332847633,258727928198"
perf::PERF_COUNT_HW_BRANCH_INSTRUCTIONS,"121696042,269335213,308390673,391193952,517597566,698568727","1288999513,3286673524,3453562008,3807335524,4360431226,5072556060","305066786,676167011,785952286,1013013702,1297539281,1799931099","3340939844,8537221608,8985131537,9972392007,11217410530,13200438155"
perf::PERF_COUNT_HW_BRANCH_MISSES,"535352,1166189,1554120,1821932,2107609,2560555","5420880,12212843,14067830,15436662,19027273,21180214","1252945,2708405,3501310,3989279,4581626,5348209","13602817,30958653,34657847,37582836,45018246,51029208"
perf::PERF_COUNT_HW_BUS_CYCLES,"29011696,37139306,63839874,125206388,234212260,383861176","348295485,476620394,818495898,1349874995,2205005926,3341868904","75244034,103104842,184250980,352857241,560587882,979096269","945396752,1267236031,2209080773,3729752890,5000185538,7400464711"
perf::PERF_COUNT_HW_REF_CPU_CYCLES,"3056859972,4023784116,6902452692,13513958064,25003874232,41053635468","37648221300,51441163128,88287803856,146335197888,235321679592,360817987572","8219088936,11135273688,19906001136,37996634160,61007903892,105594663492","99477450288,136903530204,238189167036,402947836308,544006540440,799172412444"
perf::PERF_COUNT_SW_PAGE_FAULTS,"0,0,73,101,0,0","115,117,0,0,0,502","26,8,0,109,0,0","677,148,1,98,542,3709"
perf::PERF_COUNT_SW_CONTEXT_SWITCHES,"0,0,0,0,0,0","0,0,0,0,0,0","0,0,0,0,0,0","0,0,0,0,0,0"
perf::PERF_COUNT_SW_CPU_MIGRATIONS,"0,0,0,0,0,0","0,0,0,0,0,0","0,0,0,0,0,0","0,0,0,0,0,0"
perf::PERF_COUNT_HW_CACHE_L1D:READ:ACCESS,"2097516798,2546411641,2559392454,2621166942,2726298626,2880943962","28360749462,34652464590,34693404701,34963973500,35464780182,35992302556","5294708300,6425647725,6459465436,6620307156,6866295943,7257579097","73926119394,90324412626,90416105932,91143116251,92323912511,93703750503"
perf::PERF_COUNT_HW_CACHE_L1D:READ:MISS,"624054470,821917548,840092615,853900510,902125679,904398198","7168394154,10111356624,10171251377,10240291329,10454305849,10505172523","1576021929,2074861825,2118872397,2165391492,2242633578,2341168411","18673367036,26388201317,26552262693,26748406195,27174334528,27427346372"
perf::PERF_COUNT_HW_CACHE_L1D:WRITE:ACCESS,"197835801,201845029,206835855,211857426,219954954,227711388","2238383885,2260203005,2277689132,2294750501,2343261665,2367670598","496230816,503494591,512811060,521839871,537564831,549290398","5796396449,5841513932,5872228816,5906260583,6000560495,6056273491"
perf::PERF_COUNT_HW_CACHE_L1I:READ:MISS,"174799,400875,583457,895534,1242307,1524453","1573374,2434320,3669845,5380606,8527768,9865734","383849,733543,929603,1348121,1721655,2300931","3763177,5711026,6782185,10035975,13692037,17071101"
perf::PERF_COUNT_HW_CACHE_LL:READ:ACCESS,"82416724,26526064,15235013,18388303,24630295,35323544","335683215,130037759,103056433,126508877,157535980,199457307","212492600,115775384,113146240,103894776,115393050,128072773","920471181,610312960,533653512,535925078,587596726,657552026"
perf::PERF_COUNT_HW_CACHE_LL:READ:MISS,"4082591,3068609,2526512,7733407,6933206,14673308","54106856,47594901,44970646,67962383,75997056,112680794","16922255,19280356,11778501,31349977,21396595,48747798","159898735,131405395,130542383,225399017,205821938,331661056"
perf::PERF_COUNT_HW_CACHE_LL:WRITE:ACCESS,"5064851,4895880,7002180,6303684,15152533,13069178","77752704,54537798,41040850,47722174,87653998,82852225","14398539,11418576,16300507,18898498,24300230,25633278","197088050,151293594,94256400,118735791,146311593,158794407"
perf::PERF_COUNT_HW_CACHE_LL:WRITE:MISS,"156552,335224,293681,3696949,5045937,7810475","989547,2510243,4395501,25247487,35486923,51239294","349297,629607,454715,6524500,7318470,12655998","1602009,3068649,5140059,35651669,52045960,81371528"
perf::PERF_COUNT_HW_CACHE_DTLB:READ:ACCESS,"2097516828,2546418483,2559470236,2621122200,2727728539,2880359501","28360743042,34652019651,34693480094,34965342328,35465857260,35981350331","5294709384,6425602857,6459438600,6620085225,6865986714,7256419280","73926122675,90324664164,90416324385,91141664469,92327794367,93693887030"
perf::PERF_COUNT_HW_CACHE_DTLB:READ:MISS,"31,12721,23080,14692,118279,171340","1839,7257,19056,87073,511118,777710","163,20106,51868,86533,288477,665005","50148,18448,53219,559813,1475080,1879854"
perf::PERF_COUNT_HW_CACHE_DTLB:WRITE:ACCESS,"197835804,201851558,206835528,211856248,220033925,227692101","2238383887,2260190323,2277659214,2294599178,2343537665,2366693537","496230816,503498140,512810529,521872309,537334985,549140073","5796396449,5841516134,5872233201,5905670946,6002396737,6055351986"
perf::PERF_COUNT_HW_CACHE_DTLB:WRITE:MISS,"3,1078,927,1046,1923,1997","356,862,1033,1192,10280,18594","74,577,821,755,2983,10883","4821,2050,2026,7531,14646,32110"
CYCLE_ACTIVITY:CYCLES_L1D_MISS,"2525916729,3302788271,4657552665,6727910337,11689979997,14745338125","26695482258,45210746677,74476993144,111087435924,153649964544,181388719348","6951006289,9732027782,14234431407,21161643566,27363042726,44728374073","71841738657,121676371861,207900432396,316783964841,436756450612,496544704547"
CYCLE_ACTIVITY:CYCLES_L2_MISS,"1353324065,905868180,1272836781,2941156805,5836125789,10339633858","11142541519,9616193852,15939517913,33145080927,58039163011,83665561928","3956567547,3571646235,4860488985,9583006522,14083817060,29757519709","30890916392,29218282966,46669722140,94417702261,156341560639,214875833225"
CYCLE_ACTIVITY:CYCLES_L3_MISS,"454275711,388079601,636578767,1721349097,2384844682,3954128737","6932655799,6546939587,12508256717,25065088396,32226305663,40194119451","1697573627,1654386353,2465532584,6193434900,7098889749,11742293097","20936319008,16838025808,34905000998,72413583496,95544975505,113881922886"
CYCLE_ACTIVITY:STALLS_L1D_MISS,"1635713129,1521559692,2788226969,4821232936,8956117690,12906471270","20347464562,22082570877,51667959483,87312690665,129633600275,157251572381","4786976984,5133595385,9450387659,16077399789,21975003647,30270154343","49175763558,61589245183,146793144957,253762868102,375883577277,411362790810"
CYCLE_ACTIVITY:STALLS_L2_MISS,"970704310,684745134,1062486887,2662228681,5814077849,10369338257","9679323960,7666194292,14292642917,30228568876,55210558523,80500926109","2978280569,2763942133,3996612465,8500619337,12920496670,22086824063","26021168315,23063709798,41150030975,87561708634,156811245562,187807316681"
CYCLE_ACTIVITY:STALLS_L3_MISS,"407984940,353049682,590529106,1623389989,2293456714,3972170931","7459703008,5958306765,11860945269,23647386806,31018446317,38912896838","1608534384,1455473477,2324276866,5791366756,6862566216,11251047984","17979868034,15496298410,32989729778,69576098145,98092069396,105999777528"
RESOURCE_STALLS,"2245246824,2440114063,3623476471,5736191467,9398214380,11932916114","27774012186,34536716775,66315814348,104592359131,147102672432,169011943825","6588265790,7509783001,11849872693,18820787738,23472606648,29883082123","70168969266,94220420683,186736749984,301099527518,445855497087,434007458779"
L2_RQSTS:ALL_DEMAND_DATA_RD,"189679816,231912308,245409129,269391598,304965511,327410375","1062778356,2145503387,2208458213,2340925580,2545843002,2746886434","480548860,609349879,667003046,719218016,806264159,864355501","2827673435,5732516281,5968160726,6239095348,6764988966,7250019344"
L2_RQSTS:DEMAND_DATA_RD_HIT,"121884248,213635819,235271259,257499213,286971550,301354268","790598120,2054101872,2128469890,2247152990,2420340306,2593175426","307290755,535802091,594360562,659512912,728309003,785528154","2063306346,5313912419,5595860595,5902316376,6341992066,6798637238"
L2_RQSTS:DEMAND_DATA_RD_MISS,"67855322,18311678,10112051,11858393,18082008,26149499","272157964,91360345,80153926,94240850,124060559,156056758","173507709,74722322,72359761,59606093,78108517,79905318","759653037,412614270,370941155,340169215,422991631,451098140"
L2_RQSTS:ALL_RFO,"43608433,45714432,49139081,49498506,58597093,57364398","594575400,615093317,634416632,645347508,689905225,696290812","109682572,113232582,120916094,123333584,133122607,131905957","1546453383,1579016121,1627805229,1657111097,1719349223,1746189606"
L2_RQSTS:RFO_HIT,"39743001,42521975,44001389,44172746,46277014,45736245","530801645,573406339,601739962,600402953,614203579,620914200","98584405,105307789,108172402,108755271,112579332,116609948","1385873040,1460961187,1550313593,1557967407,1590115322,1606248700"
L2_RQSTS:RFO_MISS,"3864151,3185957,5127985,5322987,12323329,11615133","64526364,41709045,32854628,45177009,75322958,75151257","11112753,7757388,12704126,14612052,20538241,12633205","161342311,118712012,77468320,99097860,129984340,140414403"
L2_RQSTS:ALL_CODE_RD,"168440,352209,558652,862801,1225820,1511426","1520917,2290483,3491399,5215926,8002442,9712014","374035,702042,905160,1321948,1665722,2132800","3688860,5465172,6485112,9636117,12915840,15613500"
L2_RQSTS:CODE_RD_HIT,"357,11014,27797,54652,115016,218143","2380,48645,124567,227145,557810,771504","478,7495,22660,73539,134891,370583","4609,32395,97101,321900,949082,1226606"
L2_RQSTS:CODE_RD_MISS,"166607,345177,531325,782521,1120699,1275665","1538831,2279730,3380231,5003595,7328099,8831921","376019,692573,885980,1234593,1559762,1790451","3641523,5409332,6374082,9316392,12181395,14785899"
