,20kx1k,20kx4k,50kx1k,50kx4k
perf::PERF_COUNT_HW_CPU_CYCLES,"4118585862,2803121593,4416171992,6441230171,15367757676,34924480905","48697658202,33029161897,50044827125,72332656500,149411271013,301878880004","10263425474,7552654163,12114657347,18210195146,40845195290,86553309896","128846361540,88590140885,127300217662,197121238405,368727122848,779327229829"
perf::PERF_COUNT_HW_INSTRUCTIONS,"5741563221,3427974373,3699399467,3921599860,5424740675,8012975453","81389702267,46795125088,47974822355,48843282819,65792546359,98544471309","14479244893,8629512144,9296812473,9853567422,13582179431,19919937979","211972854490,121772093267,124680063223,126887911428,170872374537,255675290220"
perf::PERF_COUNT_HW_BRANCH_INSTRUCTIONS,"121695984,141043856,175085157,206637641,357694429,630863690","1288999039,1672442975,1815260383,1949738408,2923381508,4788257638","305066473,351967965,433943691,516991580,898617149,1539736393","3340938926,4316323382,4664990536,5007274645,7512377574,12248710174"
perf::PERF_COUNT_HW_BRANCH_MISSES,"535091,611820,906764,1090176,1570572,2579517","5401237,6248271,7598534,8339565,13096954,21096000","1255374,1409462,1981812,2271272,3349670,5211050","13541247,15549783,18318955,20156420,30676400,50578777"
perf::PERF_COUNT_HW_BUS_CYCLES,"28066355,21187240,37948860,52709115,151645765,290841723","336836031,250427626,454682309,714122251,1716366654,3149038405","73097121,56336065,108032172,154399859,412906665,842414713","909447303,659424104,1175137048,1861206899,3785410625,7042912281"
perf::PERF_COUNT_HW_REF_CPU_CYCLES,"3048353244,2296705500,4108503132,5977211940,16334614044,31381923960","36378424368,27057748392,49146794892,70510013352,184162857912,347151911364","7893276048,6088083948,11762803692,16562602512,44613150084,91052183808","98224638084,70957367244,125635137336,201590627328,407537014860,770417471556"
perf::PERF_COUNT_SW_PAGE_FAULTS,"8,0,0,96,0,0","214,79,0,224,182,393","0,0,95,15,850,269","508,77,0,0,868,345"
perf::PERF_COUNT_SW_CONTEXT_SWITCHES,"0,0,0,0,0,0","0,0,0,0,0,0","0,0,0,0,0,0","0,0,0,0,0,0"
perf::PERF_COUNT_SW_CPU_MIGRATIONS,"0,0,0,0,0,0","0,0,0,0,0,0","0,0,0,0,0,0","0,0,0,0,0,0"
perf::PERF_COUNT_HW_CACHE_L1D:READ:ACCESS,"2097516825,1316437877,1449683648,1526559494,2014287470,2840037250","28360754188,17462822452,18017556424,18303958892,24313178207,35862510066","5294711857,3319296659,3651194411,3844368163,5069803862,7134198403","73926124067,45499475339,46927379877,47654874034,63278618828,93234006049"
