,20kx1k,20kx4k,50kx1k,50kx4k
perf::PERF_COUNT_HW_CPU_CYCLES,"4125261323,4980168310,7686618536,5764135007,9180281728,41509663949","49210133678,62327501024,97252429301,79344215558,126484800794,308673293653","10875452203,13779439463,22273129215,12920161521,18142424831,102537853741","127884436905,166750323757,282212433733,181665117928,326539711873,762814315829"
perf::PERF_COUNT_HW_INSTRUCTIONS,"5741563288,6656034074,6726763576,4076012376,4609652866,8258059306","81389701582,92928912038,93203998071,56050776225,62805120465,99426747192","14479245011,16777659931,16984085472,10147444925,11368009888,20749082842","211972854458,242019747547,242740101434,145412078754,162426463876,258796915556"
perf::PERF_COUNT_HW_BRANCH_INSTRUCTIONS,"121696008,269291447,308131785,197228196,259106038,695702446","1288999125,3285442399,3451744142,2121933694,2550870645,5032833793","305066590,676125544,785118972,464888887,587632960,1777885351","3340939796,8534337298,8984527521,5396855570,6351720903,13150303868"
perf::PERF_COUNT_HW_BRANCH_MISSES,"536204,1170876,1559345,1153566,1412404,2558024","5409121,12220937,14023406,9350343,13120213,21187532","1255239,2711503,3489832,2439118,3081122,5340859","13560731,30760986,34587511,22662576,30008888,50922288"
perf::PERF_COUNT_HW_BUS_CYCLES,"28589820,36822032,62920848,52132321,105124825,396917816","349359407,472942521,817701783,695064428,1092302347,2829533029","75563841,102140164,181832836,125780018,200373082,948279912","932843660,1265121900,2202988788,1721416801,2638749919,8038235771"
perf::PERF_COUNT_HW_REF_CPU_CYCLES,"3100678560,4009611600,6768181368,5464243044,9625744728,40850960760","37738915128,51096048228,88147845324,80025399360,117831192660,305440545240","8160125652,11035882008,19670664960,13551784812,21737806452,102867244380","99316064520,136618262892,237873223980,186159355524,285161665896,818888180580"
perf::PERF_COUNT_SW_PAGE_FAULTS,"0,128,0,0,175,0","0,0,0,0,282,393","0,0,46,290,98,0","139,239,0,0,131,345"
perf::PERF_COUNT_SW_CONTEXT_SWITCHES,"0,0,0,0,0,0","0,0,0,0,0,0","0,0,0,0,0,0","0,0,0,0,0,0"
perf::PERF_COUNT_SW_CPU_MIGRATIONS,"0,0,0,0,0,0","0,0,0,0,0,0","0,0,0,0,0,0","0,0,0,0,0,0"
perf::PERF_COUNT_HW_CACHE_L1D:READ:ACCESS,"2097504964,2546493366,2559071726,1540578900,1708561649,2878314166","28360735139,34651725759,34693250827,20822264905,23199022074,35975598157","5294711077,6425331159,6459089066,3864117365,4266163830,7253608197","73926124501,90322816253,90415206308,54159180442,60258650364,93704648811"
perf::PERF_COUNT_HW_CACHE_L1D:READ:MISS,"623959251,821837602,842209443,508158950,564283890,904302925","7162938116,10108275005,10184978264,6125034388,6833271668,10465690424","1575570171,2074687738,2112157461,1276499317,1399757800,2340767577","18665880341,26385803212,26498633320,15948022155,17731123847,27423821378"
perf::PERF_COUNT_HW_CACHE_L1D:WRITE:ACCESS,"197835802,201841127,206829658,125792170,138339692,227596157","2238383885,2260164695,2277625928,1376060034,1532911272,2370427557","496230815,503483036,512823127,306864059,333714548,549086112","5796396449,5840873399,5872188982,3517761816,3906996703,6059434797"
perf::PERF_COUNT_HW_CACHE_L1I:READ:MISS,"175294,363853,585453,1914593,3312804,1500918","1602162,2276721,3485968,9026905,14955008,10292349","379651,712959,915301,2233540,3779775,2076899","3751996,5061427,6314240,11366264,19081057,17213239"
perf::PERF_COUNT_HW_CACHE_LL:READ:ACCESS,"80829665,26752035,16467564,13312870,17051783,35892443","332165154,132193647,106559504,84861141,103869074,183199039","205710303,120634480,115378641,68280906,62518724,130323929","902123607,607794687,541024400,336710934,324623023,672481384"
perf::PERF_COUNT_HW_CACHE_LL:READ:MISS,"4066952,3090516,2578674,4078486,7285365,14810878","54766188,45461265,45779163,42054944,58474635,104030599","21347589,19644438,12567141,12215302,21817752,48498853","160257690,142063082,138636654,109296323,159234154,342392672"
perf::PERF_COUNT_HW_CACHE_LL:WRITE:ACCESS,"5378897,4888416,8650812,6664144,7263788,13122093","85107453,52312851,45776612,38555204,43870274,61653859","18055644,11799606,11762648,10309733,8847121,25863235","190822194,140514290,79381538,66164749,56721454,159367269"
perf::PERF_COUNT_HW_CACHE_LL:WRITE:MISS,"154506,342894,294144,2669136,3963685,7813123","969720,2443756,4369518,18976561,26051439,43869599","413066,644244,476894,3929509,4702584,12860944","1720839,3271933,5630010,27504049,33026901,82003660"
perf::PERF_COUNT_HW_CACHE_DTLB:READ:ACCESS,"2097504476,2546403795,2559050308,1540505993,1708578570,2879222261","28360753102,34651700178,34693289422,20822039903,23199024363,35978467403","5294709618,6425352163,6458876630,3864126221,4267124032,7253067439","73926124002,90322794064,90415514627,54170401119,60270294629,93706423391"
perf::PERF_COUNT_HW_CACHE_DTLB:READ:MISS,"125,8961,28057,12281,75281,170081","1134,4210,16813,53642,340223,750531","24,19147,54234,55854,198432,339405","41185,18245,72312,244231,1096067,2100959"
perf::PERF_COUNT_HW_CACHE_DTLB:WRITE:ACCESS,"197835803,201833648,206843176,125767891,138341060,227632721","2238383887,2260150642,2277617754,1375986715,1533263314,2371046446","496230813,503489127,512830161,306880954,333943500,549033812","5796396449,5840866806,5872176854,3521530357,3906673212,6059844815"
perf::PERF_COUNT_HW_CACHE_DTLB:WRITE:MISS,"87,673,943,835,1814,1840","398,626,818,1370,6121,16447","29,491,1053,978,9913,3930","3401,1586,2832,5418,22947,56783"
CYCLE_ACTIVITY:CYCLES_L1D_MISS,"2607699744,3298793346,4725285225,3708614616,6411584914,15563047278","27883167506,45035967765,75578694834,69199833066,85458847522,227722705769","7839561130,9707345263,14361525291,11538113771,14039865480,42052395827","71594812196,122506108668,209540620793,193847522090,227564106210,643203451508"
CYCLE_ACTIVITY:CYCLES_L2_MISS,"1379568512,890669862,1308683056,1503630697,2977082681,10603173614","11501206013,9448777370,16350368149,21422355702,30134640710,105775255891","4269532687,3593306277,4934235355,4733089827,6456205816,27901401059","30287825107,29446348929,49073593225,57456881315,73303380252,277744155718"
CYCLE_ACTIVITY:CYCLES_L3_MISS,"484827074,369651776,634405575,979310936,1907470691,4004806063","7114774957,6315174936,12827083546,17132427473,20571747528,50508126643","2075229554,1633498391,2580414645,2864920068,4071615587,15183586327","18847171865,17670571463,37359915479,44068683263,48308266530,149861149538"
