,20kx1k,20kx4k,50kx1k,50kx4k
perf::PERF_COUNT_HW_CPU_CYCLES,"4234756395,9955346563,13951120899,19825864728,35743209847,50496553417","40574299226,93354209918,119738041893,148644239491,242877686008,314707008732","11523310289,25767241885,36346490570,51066129523,87571104647,118365467013","108903024312,245464761332,315590440422,391868163103,602109007516,769639769695"
perf::PERF_COUNT_HW_INSTRUCTIONS,"5579949078,6068760393,6783911385,7016561595,7847366460,8429351587","76067627417,79938270327,88787106178,89662738630,93011145494,95286268679","14065132944,15273608711,17030334325,17561281868,19499691001,21069944831","198077343467,208092174378,230945591769,233123180540,241395341608,247647217301"
perf::PERF_COUNT_HW_BRANCH_INSTRUCTIONS,"126611213,214305062,356712584,439131602,657835108,819659609","1061773178,2035578078,3468708149,3783455589,4638873212,5250605662","316771317,532300761,882440976,1084198565,1602276233,2027786718","2748892351,5264581209,8953822860,9757054790,11907273481,13551237136"
perf::PERF_COUNT_HW_BRANCH_MISSES,"492334,997728,1638463,2012566,2559093,3153899","3606894,8206767,14093294,15629183,19329475,22162990","1102752,2226097,3625252,4376355,5501761,6785052","8746732,20488155,34402487,38034458,45173914,51134246"
perf::PERF_COUNT_HW_BUS_CYCLES,"29689844,70698382,105219384,157077781,291798423,405913124","283542230,671714987,902924055,1156206378,1933812483,2466670070","82415385,184315080,273419145,397447530,689773745,958442893","768478231,1772577158,2379485822,3201726447,4473287309,5876012597"
perf::PERF_COUNT_HW_REF_CPU_CYCLES,"3220261884,7605952920,11390362488,16960286844,31290112476,43550363872","30599236584,71813691468,97475753952,124945645320,208440599580,266111371152","8905235436,19899749232,29288196540,43235691696,76237232184,104284754604","83867423220,190423649304,257021567316,345501419616,483203266092,637609056732"
perf::PERF_COUNT_SW_PAGE_FAULTS,"0,216,114,162,214,168","177,0,13,0,154,174","0,0,94,0,232,0","520,168,0,57,964,310"
perf::PERF_COUNT_SW_CONTEXT_SWITCHES,"0,0,0,0,0,0","0,0,0,0,0,0","0,0,0,0,0,0","0,0,0,0,0,0"
perf::PERF_COUNT_SW_CPU_MIGRATIONS,"0,0,0,0,0,0","0,0,0,0,0,0","0,0,0,0,0,0","0,0,0,0,0,0"
perf::PERF_COUNT_HW_CACHE_L1D:READ:ACCESS,"2069519282,2249206126,2580893192,2614685169,2769285644,2917836683","25536093904,27357466287,32108157634,32244866576,32927369808,33383642342","5223565877,5672104250,6500929298,6579554971,6958744768,7314855016","66582185994,71317341751,83668193622,83987084298,85684816665,86947519258"
