,20kx1k,20kx4k,50kx1k,50kx4k
perf::PERF_COUNT_HW_CPU_CYCLES,"4268864515,4672406084,6851559856,4843204005,7218831771,39346892541","41519748203,42764850749,68768997330,51281264551,80196242324,252825361049","11762786155,13085201723,19966107667,11410644601,14941869383,89292964161","109218508486,114341023297,182157118741,127873196501,182203990078,568742109073"
perf::PERF_COUNT_HW_INSTRUCTIONS,"5579949043,6052445232,6685519737,3940780016,4446946790,8025256775","76067628310,79861884628,88379316415,52730478656,59053922948,93855670658","14065133067,15237645805,16832396831,9803815116,10944639479,20211820386","198077344583,207912427627,230053537533,136738805041,152591497570,244220789779"
perf::PERF_COUNT_HW_BRANCH_INSTRUCTIONS,"126611153,210547415,329636709,199948857,260177568,699451941","1061773962,2013496367,3354888013,2026335652,2433015694,4833815506","316771324,521940645,821718778,472425395,588860677,1772386202","2748892925,5208127377,8700829409,5135039813,6042502787,12559583058"
perf::PERF_COUNT_HW_BRANCH_MISSES,"491009,947418,1625981,1179216,1519801,2813026","3606711,7761374,13205400,8755849,11770250,19818185","1103580,2077101,3510682,2437797,3226987,5899340","8723019,18675132,31932968,20406945,27381802,46276487"
perf::PERF_COUNT_HW_BUS_CYCLES,"30504486,34962269,55776677,39094386,84693838,343437174","293788724,324885625,552366957,426014305,729399959,2252411966","81057003,94651447,156120649,103299901,189138670,755773270","766371684,864924086,1501457489,1015348782,1753847601,5297176664"
perf::PERF_COUNT_HW_REF_CPU_CYCLES,"3296019492,3771948312,6045163236,4187516904,8606732148,36884885256","31935597912,35073370116,59712915852,42258175416,78601967856,237111633468","8762867928,10179703512,17111700468,10610447328,20023579872,80342430696","83986896888,93404158488,162504717480,109698676920,189435403548,570635402256"
perf::PERF_COUNT_SW_PAGE_FAULTS,"0,0,0,83,107,1","133,42,215,0,0,0","9,79,0,93,0,0","779,133,0,0,512,0"
perf::PERF_COUNT_SW_CONTEXT_SWITCHES,"0,0,0,0,0,0","0,0,0,0,0,0","0,0,0,0,0,0","0,0,0,0,0,0"
perf::PERF_COUNT_SW_CPU_MIGRATIONS,"0,0,0,0,0,0","0,0,0,0,0,0","0,0,0,0,0,0","0,0,0,0,0,0"
perf::PERF_COUNT_HW_CACHE_L1D:READ:ACCESS,"2069518338,2247407306,2566919111,1502127040,1660742410,2855797155","25536093805,27347133800,32053628173,19063631214,21227074614,33193783124","5223565542,5666970795,6472234663,3766346456,4144116295,7187463006","66582185313,71291702754,83546437871,49592817636,55120482996,86458645904"
perf::PERF_COUNT_HW_CACHE_L1D:READ:MISS,"716014239,768399895,935146081,546355832,594967746,1017928154","6862525771,7517832495,9910003875,5892380592,6532116387,10260785401","1811970504,1942722479,2353119994,1370056705,1498252103,2557246108","17968702667,19667255206,25809457452,15318346248,17023386438,26731112985"
perf::PERF_COUNT_HW_CACHE_L1D:WRITE:ACCESS,"171125382,174374180,180840244,106443935,115406070,199051401","1414342215,1430510184,1457558413,869139026,963248733,1537422190","428210816,433402465,445778836,257420869,275012795,476363492","3651073303,3678926640,3733571305,2199139528,2417144139,3886096464"
perf::PERF_COUNT_HW_CACHE_L1I:READ:MISS,"157934,291493,393780,2054249,3515348,967015","1179829,1931229,2255241,8838735,15698003,5779745","356544,631071,745743,2294413,3702897,1503661","2921205,3996170,4809998,10649977,17182613,10349231"
