,20kx1k,20kx4k,50kx1k,50kx4k
perf::PERF_COUNT_HW_CPU_CYCLES,"4169022714,2480525618,4277475760,6205935304,14358905035,33605164963","39531648210,23699252222,38155128008,58746409703,104214666954,221131243865","11206322495,6534768626,11190107543,16530218906,35668514580,80033424748","103485879961,59126051194,95029476094,138185174528,267053625735,538526825154"
perf::PERF_COUNT_HW_INSTRUCTIONS,"5579954295,3106888839,3619489969,3881224067,5493436715,7756386275","76067647955,40228100800,45289568963,46345540967,62672711768,92807836440","14065140612,7814096111,9053584923,9683686187,13479500358,19652431992","198077372745,104623693490,117665944666,120242048034,162636859563,241535282345"
perf::PERF_COUNT_HW_BRANCH_INSTRUCTIONS,"126611596,109475974,181800702,215289223,377809555,627667599","1061774864,1032294852,1752977372,1891074788,2845408147,4511873954","316772281,269969617,445416143,523681237,907142794,1611205328","2748894136,2652265172,4500354717,4822037715,7304382856,11812611624"
perf::PERF_COUNT_HW_BRANCH_MISSES,"492566,493774,911418,1180974,1778092,2866437","3596278,3952402,7039809,8021398,12687580,20017662","1101539,1054263,1952059,2446817,3695815,5901552","8732861,9525834,16752727,18743677,29084866,46220284"
perf::PERF_COUNT_HW_BUS_CYCLES,"28960704,18985639,33405296,48325810,127408447,289909772","289606229,171164093,310054557,453058104,909817780,2287037197","82385667,48782456,90118265,141291814,330820949,655684491","742306580,439857985,843849684,1159623279,2801460815,4643444092"
perf::PERF_COUNT_HW_REF_CPU_CYCLES,"3129002640,2082224448,3698818092,5490604427,13528892052,31354644064","31114613412,18427717800,33567655824,48755044800,99792258912,247423483728","8910261720,5295275352,9705616992,15299145072,35742821004,70736318100","80110535508,47632753224,90657984672,125367594588,302488114824,501002643096"
perf::PERF_COUNT_SW_PAGE_FAULTS,"0,21,1,0,95,0","184,3,21,151,170,0","1,0,100,14,174,1","453,229,0,1,0,0"
perf::PERF_COUNT_SW_CONTEXT_SWITCHES,"0,0,0,0,0,0","0,0,0,0,0,0","0,0,0,0,0,0","0,0,0,0,0,0"
perf::PERF_COUNT_SW_CPU_MIGRATIONS,"0,0,0,0,0,0","0,0,0,0,0,0","0,0,0,0,0,0","0,0,0,0,0,0"
perf::PERF_COUNT_HW_CACHE_L1D:READ:ACCESS,"2069519399,1157266147,1413955547,1553203517,2071359183,2811795226","25536094125,13786757617,16541554513,17080945462,22774265379,33045845549","5223565401,2914486528,3556498369,3902530383,5195287038,7100930846","66582185062,35925152208,43076074672,44475189521,59279203888,86101612553"
perf::PERF_COUNT_HW_CACHE_L1D:READ:MISS,"716088528,398482196,534298886,623100262,806600840,1027988001","6864478382,3815839023,5217527362,5558615709,7324687591,10309229319","1812561908,1005258143,1339081249,1553297419,2012856124,2562979797","17968167790,9962652433,13582023662,14446075738,19037283649,26672149085"
perf::PERF_COUNT_HW_CACHE_L1D:WRITE:ACCESS,"171126818,92419476,111353164,136223878,168395869,199031783","1414347752,740349082,816156834,909904532,1157013552,1537277698","428213756,227753389,272288527,332224581,407605972,476292144","3651084856,1887468281,2072526222,2308317088,2926396498,3878463210"
perf::PERF_COUNT_HW_CACHE_L1I:READ:MISS,"160806,250098,264760,321739,568027,922351","1120891,1583438,1534394,1920927,3405959,5693868","352332,483649,493522,574368,888577,1370140","2678099,3488011,3157676,3500012,5718124,9401796"
perf::PERF_COUNT_HW_CACHE_LL:READ:ACCESS,"156222793,26981559,11241648,14981328,19331699,29134088","592087170,105292288,55156764,69830991,98300779,157887351","301373087,84978741,102370926,144375504,162660863,184424350","1324217966,387404583,419393138,593814457,683531280,827504135"
perf::PERF_COUNT_HW_CACHE_LL:READ:MISS,"3346019,2674958,1796874,1867692,2401529,4784156","35057060,20522209,16931020,18268348,23414678,42035970","28631046,10107161,7244540,7532297,9705754,17052270","145046235,62163240,54028823,55797977,77040978,119782932"
perf::PERF_COUNT_HW_CACHE_LL:WRITE:ACCESS,"4217808,2893747,6451792,10328333,15000904,18644161","56299692,21254924,29871538,44507770,74570484,110221138","11166034,7005957,11416012,15778355,22276235,29587664","91828686,53943303,54483315,72411956,124265803,208721725"
perf::PERF_COUNT_HW_CACHE_LL:WRITE:MISS,"113703,1194961,1542776,1786256,2044687,2642212","666662,5311045,7443980,8343413,11060320,16285838","751983,2342202,3050389,3576219,3648527,4470301","2447969,10291774,13655869,15967689,18351657,26728521"
perf::PERF_COUNT_HW_CACHE_DTLB:READ:ACCESS,"2069519527,1157012531,1413800009,1553093534,2073694156,2815839138","25536094238,13786924850,16541290739,17080523879,22768192823,33034877130","5223565611,2914561711,3556755521,3902479544,5558931261,7093150197","66582186256,35923897592,43077494555,44475922952,59274375286,86093001528"
perf::PERF_COUNT_HW_CACHE_DTLB:READ:MISS,"224,975,24954,25174,49352,99533","6837,3341,5188,33336,434583,659397","448,16804,63628,64502,130430,197580","25236,11011,13164,184365,801023,1756937"
perf::PERF_COUNT_HW_CACHE_DTLB:WRITE:ACCESS,"171126964,92415873,111353838,136215918,168358645,199028134","1414347898,740555869,816191425,909718004,1157062645,1537127599","428213720,227725213,272299925,332218802,407624744,476677706","3651084820,1886726566,2072076166,2308437657,2926975884,3878121728"
perf::PERF_COUNT_HW_CACHE_DTLB:WRITE:MISS,"234,74,433,534,1434,2755","1997,1059,461,1041,4575,4584","280,230,401,399,3299,5397","3085,5441,515,1488,6219,16798"
