,20kx1k,20kx4k,50kx1k,50kx4k
perf::PERF_COUNT_HW_CPU_CYCLES,"4216754680,5769613163,8912003024,13828887649,25940225732,39425746680","40514763959,49570281484,76565149188,107649053069,186383079109,260365474709","11684080900,14978977350,24071223642,37452491288,65251722923,89680514160","108359287160,130665694088,203140426412,285595321384,447102179714,625694102915"
perf::PERF_COUNT_HW_INSTRUCTIONS,"5579949053,6062593448,6729693019,6884913583,7489360909,8027323035","76067627436,79909089246,88579778810,89216200553,91883870408,93951570334","14065133122,15266151901,16923090236,17292338076,18897390932,20249886680","198077343927,208015942444,230479862528,232061667879,238980130467,244339425174"
perf::PERF_COUNT_HW_BRANCH_INSTRUCTIONS,"126611208,213232430,339697609,401498807,562918672,693062377","1061773194,2027184593,3405817104,3657510649,4323197322,4889169086","316771356,529957456,849376118,1003507247,1424348337,1776279979","2748892665,5241068870,8831348953,9445719427,11248058773,12630604980"
perf::PERF_COUNT_HW_BRANCH_MISSES,"493784,946076,1604595,1926584,2332888,2817490","3603699,7724293,13194784,14430195,17580662,19806415","1094775,2066985,3470584,4114534,4969773,5899766","8755957,18721134,31880268,34380156,41465289,46271133"
perf::PERF_COUNT_HW_BUS_CYCLES,"29602347,42024195,73196543,117367921,231892881,346362925","285159518,358600025,588238545,969330682,1504188185,2394907122","84004031,108322568,188489070,301986963,575580052,823226031","758494731,940873521,1634485994,2321074646,3980850556,5284967233"
perf::PERF_COUNT_HW_REF_CPU_CYCLES,"3208540428,4523771376,7930989252,12876202764,25595274276,38271511008","30787640460,39009503268,63507002220,103474354212,164061033588,258702701796","9038169828,11695773492,20310372072,32523801552,62017933104,87895383516","83330795628,101935509084,184240272312,255374763228,420790102344,622486622124"
perf::PERF_COUNT_SW_PAGE_FAULTS,"50,127,0,171,0,0","139,1,4,0,0,797","0,63,4,148,190,0","498,188,0,0,0,321"
perf::PERF_COUNT_SW_CONTEXT_SWITCHES,"0,0,0,0,0,0","0,0,0,0,0,0","0,0,0,0,0,0","0,0,0,0,0,0"
perf::PERF_COUNT_SW_CPU_MIGRATIONS,"0,0,0,0,0,0","0,0,0,0,0,0","0,0,0,0,0,0","0,0,0,0,0,0"
perf::PERF_COUNT_HW_CACHE_L1D:READ:ACCESS,"2069512511,2248375564,2572393869,2598470233,2732171059,2856926858","25536094077,27354651764,32082371392,32181029972,32783900546,33228651604","5223564859,5670265464,6483980359,6541520846,6874250418,7201791430","66582185023,71308923980,83608400556,83848784264,85348473203,86484195975"
perf::PERF_COUNT_HW_CACHE_L1D:READ:MISS,"715868477,768667136,930981311,943603604,980541561,1017447718","6864057639,7522209259,9894367465,9951631209,10127184972,10255503908","1812117837,1942869230,2349770271,2383552655,2471072802,2558915125","17967511757,19671761680,25836128942,25966228116,26416924961,26734538213"
perf::PERF_COUNT_HW_CACHE_L1D:WRITE:ACCESS,"171125382,174427844,180955765,185554326,193222050,199631422","1414342215,1430822288,1458146986,1474167215,1510942486,1540800833","428210816,433480816,445881212,454109166,467863155,476952671","3651073303,3680463127,3735060808,3763113291,3832281239,3888464825"
perf::PERF_COUNT_HW_CACHE_L1I:READ:MISS,"161087,390321,446937,599886,835688,998268","1177662,2198128,2497700,3438738,4778127,6414719","371864,749043,841085,1020344,1336694,1482023","2949511,4707118,5377406,6883865,8355431,10070188"
perf::PERF_COUNT_HW_CACHE_LL:READ:ACCESS,"152785979,52012256,18863303,18911155,24898669,30027953","584180287,202057779,93074073,108920179,133801650,159387502","303146272,167275502,154230369,156918250,150477470,156994672","1227464507,722006375,658967004,675611650,665404584,710276411"
perf::PERF_COUNT_HW_CACHE_LL:READ:MISS,"3562829,6625889,7838377,9034381,11005542,13074447","34502868,47907120,51313246,62424893,72522731,83429121","29783396,22304857,27274340,34764606,38088923,41899302","149149488,137963984,165289706,203863792,228009627,251717251"
perf::PERF_COUNT_HW_CACHE_LL:WRITE:ACCESS,"4581669,5586766,5035963,4611720,8584693,9600517","41461322,43913052,29695360,34849818,47984157,58875454","12942116,14822781,16032327,18160060,21601198,23671633","104348549,108353859,82006028,91741098,114620907,139703497"
perf::PERF_COUNT_HW_CACHE_LL:WRITE:MISS,"107863,2784941,3497445,3331269,4845147,5155864","617358,12907326,20283006,22881148,29408843,32753576","699626,5379074,6527801,7159542,8620861,9523029","2758408,24343783,36459150,40980352,54883838,60810203"
perf::PERF_COUNT_HW_CACHE_DTLB:READ:ACCESS,"2069519392,2248477921,2572822416,2596984865,2736877938,2856706725","25536094194,27353760818,32083228614,32181285796,32784757335,33205557648","5223561322,5670089237,6483443324,6540733192,6875602098,7199401992","66582177002,71306514641,83606357495,83847503734,85351780992,86486534788"
perf::PERF_COUNT_HW_CACHE_DTLB:READ:MISS,"16653,13214,48737,54191,82971,100318","4284,3044,14450,69625,388244,698182","41767,2474,122201,131529,195136,182794","16926,23487,23272,290626,989189,1719050"
perf::PERF_COUNT_HW_CACHE_DTLB:WRITE:ACCESS,"171125526,174417752,180962274,185555313,193205890,199649748","1414342359,1430683797,1458084461,1474048567,1510924857,1540892494","428210780,433451712,445884571,454117675,467870860,476918335","3651073267,3679829985,3734382494,3762257293,3832393144,3887656643"
perf::PERF_COUNT_HW_CACHE_DTLB:WRITE:MISS,"295,427,564,665,1663,1874","1365,317,898,735,11234,6948","340,454,637,1244,2433,3761","1753,3485,752,1369,14747,18245"
CYCLE_ACTIVITY:CYCLES_L1D_MISS,"2879348062,3360174196,4938036930,6736290837,8729337234,15174612813","19904474205,25063511812,47258416716,73524778179,86840202034,119468677532","8541423174,9270921595,15311630984,20646980764,26908937573,27699341295","54946336996,67319294716,130603952568,194430174919,218176806704,318013709909"
CYCLE_ACTIVITY:CYCLES_L2_MISS,"1902808302,1835242484,2013473873,3200995464,4970007864,10410190403","10326076763,11491819172,12533249256,23721105392,35271897769,57871881094","5744171668,5586561708,7638939020,11248077722,15473295783,17405657360","29307704642,32848033795,41465185083,66489731778,83822879020,139326898898"
CYCLE_ACTIVITY:CYCLES_L3_MISS,"306816183,854961145,1198532041,1999350469,2199741815,3546085289","3930779317,7138304564,9145226030,17691515092,19285246384,23550051310","2609459534,2429206353,4078724558,6574808209,8096415656,8004780657","15963017699,18697954493,27204956610,46900868809,51024490403,71962098946"
CYCLE_ACTIVITY:STALLS_L1D_MISS,"1794869863,2331791899,2941810801,4799799735,6327623550,12874954939","12672963349,17893497806,25545909340,51170077139,64000919767,96002472530","5766877892,6468174353,10395247259,15330095558,20455480611,21320006105","36561188733,48326315882,75682199109,136092664433,158128993356,255438279624"
