,20kx1k,20kx4k,50kx1k,50kx4k
perf::PERF_COUNT_HW_CPU_CYCLES,"4227392985,2543094022,4158388564,6203420121,14824980545,32118051753","38913932919,22483013755,37933925318,50848535016,102399765296,221213455335","11041294952,6501409382,11144727283,16311932988,35591240148,78185554605","104940263689,59828288939,96424109371,132410493288,263661050244,536021009123"
perf::PERF_COUNT_HW_INSTRUCTIONS,"5579954405,3107478617,3610212886,3894085403,5433015088,7787454860","76067648007,40219913533,45305620583,46345400420,62616778823,92727010288","14065140522,7815228667,9045774825,9680547227,13468188184,19590013150","198077374044,104619612640,117661157388,120251964036,162613706398,241377248692"
perf::PERF_COUNT_HW_BRANCH_INSTRUCTIONS,"126611792,109551339,181431164,215498043,375500958,621506732","1061774864,1028883375,1757416443,1892175810,2844656603,4524094667","316772037,270638818,444773600,522688196,904351583,1592749363","2748894349,2650887158,4496127944,4825177800,7288885418,11775412860"
perf::PERF_COUNT_HW_BRANCH_MISSES,"493022,491118,911915,1185068,1787218,2858448","3586270,3925712,7104631,8054071,12617210,19976687","1100782,1063697,1954608,2460282,3714185,5867442","8756116,9525713,16978818,18768894,29053756,46177872"
perf::PERF_COUNT_HW_BUS_CYCLES,"29380865,19370412,32752906,51091328,138578680,276758815","278700199,169991257,303508998,467989837,1019702881,1906264851","78143666,48094513,89932858,138597001,324063554,695070483","747680652,447937075,833268983,1113026020,2627573366,4607521828"
perf::PERF_COUNT_HW_REF_CPU_CYCLES,"3219242904,2072617272,3632767272,5501217636,14014272744,30242411555","30105664272,18428803380,32468887152,50471573400,110350492452,205378665624","8526132360,5206240620,9710142012,14952627756,35397217584,74424848616","80498726352,48384589392,90407700216,117073587096,272971153764,498297624804"
perf::PERF_COUNT_SW_PAGE_FAULTS,"50,0,0,0,0,0","225,2,0,0,832,34","0,0,114,8,358,0","618,92,201,403,0,128"
perf::PERF_COUNT_SW_CONTEXT_SWITCHES,"0,0,0,0,0,0","0,0,0,0,0,0","0,0,0,0,0,0","0,0,0,0,0,0"
perf::PERF_COUNT_SW_CPU_MIGRATIONS,"0,0,0,0,0,0","0,0,0,0,0,0","0,0,0,0,0,0","0,0,0,0,0,0"
perf::PERF_COUNT_HW_CACHE_L1D:READ:ACCESS,"2069518912,1156513776,1413280115,1553974682,2069591545,2815857939","25536094112,13785490483,16542692414,17080669149,22766250829,33045594292","5223565874,2914461596,3556519027,3901763389,5332976407,7102394390","66582186285,35920788291,43078473328,44477521505,59268682635,86069210968"
perf::PERF_COUNT_HW_CACHE_L1D:READ:MISS,"716065519,398320328,534229533,623060644,807022853,1029034307","6867883192,3805127507,5216285299,5557818657,7321489918,10310553608","1812879365,1005436549,1339023728,1553709249,2012292683,2549485071","17976510642,9962510118,13580819570,14444529651,19028343387,26777451339"
perf::PERF_COUNT_HW_CACHE_L1D:WRITE:ACCESS,"171126818,92421252,111354093,136218483,168365778,199080223","1414347752,739961883,816209621,909845860,1158048833,1538939617","428213756,227735006,272315901,332229755,407743660,476552216","3651084856,1886394232,2072965804,2308485950,2926941533,3881393258"
perf::PERF_COUNT_HW_CACHE_L1I:READ:MISS,"156946,240377,244012,336794,538060,887137","1077410,1276981,1469174,1819583,3133577,5485582","348606,485179,471028,557827,884137,1372838","2689521,3079403,3254354,3526838,5798413,9376585"
perf::PERF_COUNT_HW_CACHE_LL:READ:ACCESS,"155616358,27693209,11486501,14885673,19308520,29548477","607016292,102533328,56340879,69597057,98712679,159197578","346580916,91477568,98688238,142809965,163742756,182906655","1356630033,367544577,407765915,614577231,725194308,808128130"
perf::PERF_COUNT_HW_CACHE_LL:READ:MISS,"3423317,2730828,1912706,1847053,2353433,4961621","34557354,20396767,16857573,18728043,25636090,43964922","23969049,10066975,7626519,7439968,9539434,16468073","157234479,61702102,51809288,54267416,77439866,119571747"
perf::PERF_COUNT_HW_CACHE_LL:WRITE:ACCESS,"4692657,3022257,6409090,10299614,14787585,18632981","40888746,20460030,29302599,44751615,72850211,109281258","12468846,6988335,11359958,15823991,22117715,18372292","116474834,54278631,54161596,73619697,121655964,210667352"
perf::PERF_COUNT_HW_CACHE_LL:WRITE:MISS,"115169,1192393,1558387,1838089,2033133,2743585","669549,5274320,7191395,8473104,10832408,16465183","610362,2373728,3083962,3643659,3575659,4303801","2829475,10216000,13602634,17214996,18617680,26967705"
perf::PERF_COUNT_HW_CACHE_DTLB:READ:ACCESS,"2069519179,1156472540,1413423909,1552867207,2070023774,2828689677","25536093994,13786654621,16542465008,17080603698,22766135489,33037413862","5223565802,2914095930,3556767376,3901384604,5194009242,7091140249","66582186263,35923302013,43077324771,44476039298,59275628318,86073412403"
perf::PERF_COUNT_HW_CACHE_DTLB:READ:MISS,"16571,7275,17013,7909,60469,90082","5144,6456,5436,34961,280291,675234","40989,16345,63473,11886,135200,192105","63467,18532,17199,149025,799754,1507510"
perf::PERF_COUNT_HW_CACHE_DTLB:WRITE:ACCESS,"171126964,92408029,111351940,136220775,168301173,199042485","1414347898,740253951,816141968,910110531,1157785206,1535284137","428213720,227727950,272301367,332225664,407633061,476586647","3651084820,1886853216,2072734927,2308485727,2927183135,3881173744"
